Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_FAT	GO:0071144~heteromeric SMAD protein complex	5	0.796178344	0.001140533	"SMAD2, LOC116806871, LOC116806878, SMAD7, LOC121468129"	331	13	8631	10.0290495	0.417788242	0.270306262	0.270306262
GOTERM_CC_FAT	GO:0071141~SMAD protein complex	5	0.796178344	0.001140533	"SMAD2, LOC116806871, LOC116806878, SMAD7, LOC121468129"	331	13	8631	10.0290495	0.417788242	0.270306262	0.270306262
GOTERM_BP_FAT	GO:0009150~purine ribonucleotide metabolic process	13	2.070063694	0.001345498	"STOML2, NPR2, LOC100189940, LOC100190380, NUDT2, AK3, NME1, HINT1, ATP5F1A, LOC116806651, LOC116806862, PDE8B, ATP5ME"	417	114	10887	2.977218225	0.983513047	0.64292184	0.642710908
GOTERM_BP_FAT	GO:0055123~digestive system development	8	1.27388535	0.001459461	"SMAD2, LOC116806872, NIPBL, LOC116806871, PKDCC, NPR2, BARX1, CCDC40"	417	45	10887	4.641406875	0.988358121	0.64292184	0.642710908
GOTERM_BP_FAT	GO:0042552~myelination	8	1.27388535	0.001459461	"FA2H, NKX6-2, HEXB, PLP1, MAL, MAL2, MBP, BCAS1"	417	45	10887	4.641406875	0.988358121	0.64292184	0.642710908
GOTERM_BP_FAT	GO:0008366~axon ensheathment	8	1.27388535	0.001459461	"FA2H, NKX6-2, HEXB, PLP1, MAL, MAL2, MBP, BCAS1"	417	45	10887	4.641406875	0.988358121	0.64292184	0.642710908
GOTERM_BP_FAT	GO:0007272~ensheathment of neurons	8	1.27388535	0.001459461	"FA2H, NKX6-2, HEXB, PLP1, MAL, MAL2, MBP, BCAS1"	417	45	10887	4.641406875	0.988358121	0.64292184	0.642710908
GOTERM_BP_FAT	GO:0009259~ribonucleotide metabolic process	14	2.229299363	0.001592779	"STOML2, NPR2, LOC100189940, LOC100190380, NUDT2, AK3, NME1, HINT1, ATP5F1A, LOC116806651, LOC116806862, RFK, PDE8B, ATP5ME"	417	132	10887	2.769021147	0.992251496	0.64292184	0.642710908
GOTERM_BP_FAT	GO:0015074~DNA integration	4	0.636942675	0.001728197	"LOC121468376, GIN1, LOC116806961, LOC121468358"	417	7	10887	14.91880781	0.994876052	0.64292184	0.642710908
GOTERM_BP_FAT	GO:1904888~cranial skeletal system development	6	0.955414013	0.001851533	"SMAD2, LOC116806872, NIPBL, LOC116806871, RIC1, MTHFD1L"	417	24	10887	6.526978417	0.996484445	0.64292184	0.642710908
GOTERM_BP_FAT	GO:0009145~purine nucleoside triphosphate biosynthetic process	6	0.955414013	0.002242831	"STOML2, ATP5F1A, LOC116806651, NUDT2, NME1, ATP5ME"	417	25	10887	6.265899281	0.998936375	0.64292184	0.642710908
GOTERM_BP_FAT	GO:0009206~purine ribonucleoside triphosphate biosynthetic process	6	0.955414013	0.002242831	"STOML2, ATP5F1A, LOC116806651, NUDT2, NME1, ATP5ME"	417	25	10887	6.265899281	0.998936375	0.64292184	0.642710908
