Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_FAT	GO:0046624~sphingolipid transporter activity	7	0.45454545454545453	4.4319351002446726E-5	ABCB1, LOC100223347, ATP10B, ATP10A, MFSD2B, CERT1, PLEKHA8	951	9	10113	8.270942867157379	0.060787265748109665	0.06271188166846212	0.06271188166846212
GOTERM_BP_FAT	GO:0016339~calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules	9	0.5844155844155844	5.255817099540541E-4	LOC100232461, CDH4, CDHR1, CDH11, CDH22, LOC100223925, CDH8, CDH18, CDH19	1012	22	10887	4.400961192957241	0.9258980468222333	1.0	1.0
GOTERM_BP_FAT	GO:0001501~skeletal system development	29	1.883116883116883	5.474463006631925E-4	RB1, FBN2, DLX1, PKDCC, LOC100223347, NPR2, HEXB, LRRK1, TWIST1, PCSK5, NIPBL, RANBP3L, LOC116806872, LOC116806871, MTHFD1L, CCN3, CER1, SMAD2, SEMA4D, SLC2A10, FST, BMP4, VCAN, SNX19, NFIB, FAT4, NOTUM, FREM1, MATN3	1012	157	10887	1.98712897459782	0.9335031838759593	1.0	1.0
GOTERM_MF_FAT	GO:0004888~transmembrane signaling receptor activity	69	4.48051948051948	0.0013511790091935267	ROBO2, GABRB3, NRP1, CHRM3, VIPR1, GPR62, GRM1, LOC115498493, BRS3, GRM2, EDNRB, LOC121469005, LOC100228113, EPHB3, GPR135, PDGFRB, LOC115491116, ADGRV1, NPY5R, IL11RA, F2R, LIFR, AVPR1A, OSMR, PRLR, IL17RC, EDAR, GPRC5B, PALLD, KIT, ROR2, EPHA1, IL6ST, EPHA3, LOC100222682, GRIA1, CHRNA1, OPRD1, LOC100225224, PTGFR, LTK, CHRNA2, CHRNA5, CHRNA4, PTGER2, LPAR1, CHRNA9, CRHR2, LOC752003, CALCR, ERBB2, GPR158, NTRK2, OPN3, AGXT2, PTCH1, GCGR, IL31RA, HTR1A, LOC115491052, LOC100232344, GRIN3B, P2RX5, GRIN3A, LOC100229133, TEK, LGR6, F2RL2, FGFR2	951	505	10113	1.4529718587000657	0.8523943568237287	0.9559591490044201	0.9559591490044201
GOTERM_BP_FAT	GO:0048565~digestive tract development	12	0.7792207792207793	0.001491999084748309	SMAD2, RB1, LOC116806872, NIPBL, LOC116806871, PKDCC, NPR2, KIT, FAT4, PCSK5, EPHB3, CCDC40	1012	43	10887	3.0022060851181176	0.9993831659033918	1.0	1.0
GOTERM_CC_FAT	GO:0043235~receptor complex	35	2.272727272727273	0.0019414892498493116	GRIA1, GABRB3, CHRNA1, LTK, ITGB4, CHRNA4, LOC121470816, CHRNA9, VLDLR, GPR62, GRM1, CACNG8, ERBB2, VWC2L, JAK2, PDGFRB, NTRK2, ITGA4, AGXT2, ITGA2, ITGA1, IL31RA, LIFR, LOC115491052, OSMR, PRLR, PTPRD, GRIN3B, GPRC5B, GRIN3A, KIT, ROR2, TEK, IL6ST, FGFR2	786	224	8631	1.7157681297709924	0.7503188905415519	0.7565532176089054	0.7565532176089054
GOTERM_BP_FAT	GO:0034332~adherens junction organization	10	0.6493506493506493	0.0019461690956803091	LOC100232461, CDH4, CDHR1, CDH11, CDH22, LOC100223925, CDH8, CDH18, CDH19, SMAD7	1012	32	10887	3.361845355731225	0.9999351169052695	1.0	1.0
GOTERM_CC_FAT	GO:0016342~catenin complex	10	0.6493506493506493	0.002119196687980127	LOC100232461, CDH4, APC, CDHR1, CDH11, CDH22, LOC100223925, CDH8, CDH18, CDH19	786	33	8631	3.3275503122831362	0.7801284988628945	0.7565532176089054	0.7565532176089054
GOTERM_BP_FAT	GO:0055123~digestive system development	12	0.7792207792207793	0.002217139226605865	SMAD2, RB1, LOC116806872, NIPBL, LOC116806871, PKDCC, NPR2, KIT, FAT4, PCSK5, EPHB3, CCDC40	1012	45	10887	2.8687747035573117	0.9999830801582709	1.0	1.0
GOTERM_BP_FAT	GO:0043588~skin development	13	0.8441558441558441	0.0033647200254379246	ANXA1, OPN3, SLC2A10, ITGB4, ARRDC3, LOC100230278, DHCR24, KLF4, TNFSF13B, FA2H, UGCG, LOC116806883, PALLD	1012	54	10887	2.5898660518225736	0.9999999431839771	1.0	1.0
GOTERM_MF_FAT	GO:0001653~peptide receptor activity	17	1.103896103896104	0.003580699762884561	OGFR, OPRD1, VIPR1, NPY5R, NPR2, GCGR, NPR3, F2R, AVPR1A, BRS3, CRHR2, EDNRB, CALCR, LGR6, F2RL2, LOC100228113, LOC100222682	951	82	10113	2.204624144033238	0.9937538064013169	1.0	1.0
GOTERM_BP_FAT	GO:0042127~regulation of cell population proliferation	64	4.1558441558441555	0.004030536144826981	RB1, SRPX, TES, CDCA7L, LOC115495221, FGF1, TNFSF13B, FGF7, ZMIZ1, NCK2, FBXO4, CCN3, JAK2, SOX7, CER1, KCNH1, PPP1R16B, PDGFRB, EGFL7, AGTPBP1, ANXA1, KSR1, ITGA4, ITGA1, LIFR, NRG1, OSMR, PRLR, VCAN, KIT, EPHA1, PTGFR, LTK, UHRF1, DHX9, PIK3R1, THBS1, TMEM127, APOH, ERBB2, GPC3, HMOX1, FGF22, S100A11, FKTN, KDM4C, NOS2, AGXT2, XRCC5, PTCH1, IL31RA, KLF4, PODN, MEIS2, ESR1, SMAD7, FA2H, APC, NFIB, TAFA1, NOX4, AGGF1, FGFR2, FGF10	1012	487	10887	1.4137698744430285	0.9999999979211879	1.0	1.0
GOTERM_BP_FAT	GO:0040013~negative regulation of locomotion	20	1.2987012987012987	0.004231321383811201	KANK1, SEMA6A, MACIR, SEMA4D, SEMA3D, SEMA3A, CCDC125, ARRDC3, PODN, KLF4, THBS1, LOC100232461, LOC116806883, APOH, CDH11, MMP28, NKX2-1, CCN3, SRGAP2, EPHA1	1012	107	10887	2.0108233903439103	0.9999999992337241	1.0	1.0
GOTERM_BP_FAT	GO:1904888~cranial skeletal system development	8	0.5194805194805194	0.004917146160476144	SMAD2, LOC116806872, NIPBL, LOC116806871, RIC1, MTHFD1L, TWIST1, FREM1	1012	24	10887	3.5859683794466397	0.9999999999746922	1.0	1.0
GOTERM_MF_FAT	GO:0060089~molecular transducer activity	78	5.0649350649350655	0.005498077046948915	ROBO2, GABRB3, OGFR, NRP1, CHRM3, VIPR1, GPR62, RORB, GRM1, LOC115498493, BRS3, GRM2, EDNRB, LOC121469005, LOC100228113, EPHB3, GPR135, PDGFRB, LOC115491116, ADGRV1, NPY5R, IL11RA, F2R, LIFR, AVPR1A, OSMR, RGMB, PRLR, IL17RC, EDAR, GPRC5B, PALLD, KIT, ROR2, EPHA1, IL6ST, EPHA3, LOC100222682, GRIA1, CHRNA1, OPRD1, LOC100225224, PTGFR, LTK, CHRNA2, CHRNA5, CHRNA4, PTGER2, NPR2, NPR3, LPAR1, CHRNA9, CRHR2, LOC752003, CALCR, ERBB2, GPR158, NTRK2, OPN3, AGXT2, PTCH1, GCGR, NR2F1, IL31RA, HTR1A, LOC115491052, NR1D2, LOC100232344, ESR1, GRIN3B, P2RX5, GRIN3A, LOC100229133, TEK, LGR6, LOC100227477, F2RL2, FGFR2	951	618	10113	1.3421640991087562	0.9995907746802614	1.0	1.0
