Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_FAT	GO:0022848~acetylcholine-gated monoatomic cation-selective channel activity	5	0.7598784194528876	0.001617651830289188	CHRNA1, CHRNA2, CHRNA4, CHRNA9, LOC100229133	392	14	10113	9.213739067055393	0.7730371346934728	0.5088851111811646	0.5088851111811646
GOTERM_MF_FAT	GO:0022824~transmitter-gated monoatomic ion channel activity	8	1.21580547112462	0.002583947889763144	GABRB3, CHRNA1, GRIA1, GRIN3B, CHRNA2, CHRNA4, CHRNA9, LOC100229133	392	49	10113	4.211995002082465	0.9065154889205077	0.5088851111811646	0.5088851111811646
GOTERM_MF_FAT	GO:0022835~transmitter-gated channel activity	8	1.21580547112462	0.002583947889763144	GABRB3, CHRNA1, GRIA1, GRIN3B, CHRNA2, CHRNA4, CHRNA9, LOC100229133	392	49	10113	4.211995002082465	0.9065154889205077	0.5088851111811646	0.5088851111811646
GOTERM_MF_FAT	GO:0019840~isoprenoid binding	4	0.60790273556231	0.0027777571571024275	OPN3, CRABP1, RBP1, NMNAT3	392	8	10113	12.899234693877549	0.9217593551957465	0.5088851111811646	0.5088851111811646
GOTERM_MF_FAT	GO:0005501~retinoid binding	4	0.60790273556231	0.0027777571571024275	OPN3, CRABP1, RBP1, NMNAT3	392	8	10113	12.899234693877549	0.9217593551957465	0.5088851111811646	0.5088851111811646
GOTERM_MF_FAT	GO:0004523~RNA-DNA hybrid ribonuclease activity	4	0.60790273556231	0.005618141359789537	LOC121468354, LOC116806961, LOC116806968, LOC121468358	392	10	10113	10.31938775510204	0.9942624784500733	0.6851619392847682	0.6851619392847682
GOTERM_BP_FAT	GO:0030030~cell projection organization	35	5.319148936170213	0.006159836086317313	NRP1, CEP126, DNAH1, ARHGEF26, SEMA3D, ITGB4, LAMA3, USH1C, CFAP126, LOC116806990, SCIN, SLIT1, NCK2, SLITRK6, NCDN, SRGAP2, NEO1, EPHB3, WHRN, DNAAF1, CFAP91, FUZ, ARMC2, KLF7, TMEM17, RILPL2, KIT, CDH11, SPATA13, ERCC6, FAT4, CEP41, CFAP54, EPHA1, CCDC40	409	579	10887	1.6090679909294756	0.9999999934617922	1.0	1.0
GOTERM_MF_FAT	GO:0016887~ATP hydrolysis activity	19	2.8875379939209727	0.006237451252054167	LOC100224564, DNAH3, LOC115492664, IQCA1, TOR3A, DNAH10, XRCC5, DHX9, ATP10B, ABCA7, ATP2A1, ATP10A, SMC6, ATP12A, SMC4, RAD51D, CHD1W, LOC116806862, MCM3	392	243	10113	2.017164273116654	0.9967574611065523	0.6851619392847682	0.6851619392847682
GOTERM_MF_FAT	GO:0099529~neurotransmitter receptor activity involved in regulation of postsynaptic membrane potential	7	1.0638297872340425	0.007306236345009902	CHRNA1, GRIA1, GRIN3B, CHRNA2, CHRNA4, CHRNA9, LOC100229133	392	45	10113	4.013095238095238	0.9987899344798461	0.6851619392847682	0.6851619392847682
GOTERM_MF_FAT	GO:1904315~transmitter-gated monoatomic ion channel activity involved in regulation of postsynaptic membrane potential	7	1.0638297872340425	0.007306236345009902	CHRNA1, GRIA1, GRIN3B, CHRNA2, CHRNA4, CHRNA9, LOC100229133	392	45	10113	4.013095238095238	0.9987899344798461	0.6851619392847682	0.6851619392847682
GOTERM_BP_FAT	GO:0120036~plasma membrane bounded cell projection organization	34	5.167173252279635	0.007658022762011143	NRP1, CEP126, DNAH1, ARHGEF26, SEMA3D, ITGB4, LAMA3, USH1C, CFAP126, LOC116806990, SLIT1, NCK2, SLITRK6, NCDN, SRGAP2, NEO1, EPHB3, WHRN, DNAAF1, CFAP91, FUZ, ARMC2, KLF7, TMEM17, RILPL2, KIT, CDH11, SPATA13, ERCC6, FAT4, CEP41, CFAP54, EPHA1, CCDC40	409	566	10887	1.5989960862916532	0.9999999999343617	1.0	1.0
