Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_FAT	GO:0007166~cell surface receptor signaling pathway	67	7.596371882086168	0.0013860037805178418	RB1, LOC100227745, DRAXIN, VIPR1, HSPB1, FGF1, GRM1, GRM2, LOC121468115, JAK2, CSNK1G3, ANXA1, ADGRV1, SEMA6A, DAPK1, IL11RA, FST, ITGA2, ITGA1, LIFR, NRG1, OSMR, RGMB, PRLR, ROR2, TLN1, IL6ST, EPHA3, TRABD2A, LTK, PRKAA1, STOML2, SHC3, LOC115491043, SEMA3A, NPR2, LOC115491041, LOC115491042, PIK3R1, EFNA5, CRHR2, UGCG, CALCR, GPC3, CCL19, FAM83C, FGF22, LOC100229224, SMAD2, NTRK2, WNT10A, SEMA4D, HOMER1, PTCH1, IL31RA, LOC100230245, LOC115491052, KLF4, SMAD7, LOC121468129, DAB2, FER, GRIN3A, APC, TEK, FGFR2, FGF10	603	826	10887	1.4644874899112188	0.9962107985913105	1.0	1.0
GOTERM_BP_FAT	GO:1903670~regulation of sprouting angiogenesis	5	0.5668934240362812	0.002235073624794482	PPP1R16B, SEMA6A, KLF4, FGF1, THBS1	603	11	10887	8.206693803708731	0.9998759780537627	1.0	1.0
GOTERM_MF_FAT	GO:0033218~amide binding	14	1.5873015873015872	0.0029946889745980708	VIPR1, AGXT2, NPR2, FBXO2, NPR3, PPWD1, PIK3R1, HMGCR, PRLR, PLEKHA8, CRHR2, APBA1, CERT1, CRYAB	559	99	10113	2.5583563723098606	0.9598496103623294	1.0	1.0
GOTERM_BP_FAT	GO:0030855~epithelial cell differentiation	21	2.380952380952381	0.003093076720795538	TMOD1, SMAD2, PPP1R16B, ANXA1, NKX6-2, PTCH1, HSD17B4, RFX3, TDRD7, NRG1, KLF4, ESR1, FA2H, UGCG, DAB2, MARVELD2, NFIB, PALLD, MAP1B, NKX2-1, PELO	603	185	10887	2.0494554255748287	0.9999960957235554	1.0	1.0
GOTERM_BP_FAT	GO:0042327~positive regulation of phosphorylation	22	2.494331065759637	0.0031063538052034925	NIBAN1, NTRK2, LTK, LOC115491043, LRRK1, SH2D3C, IL31RA, LOC115491041, NRG1, LOC115491042, FGF1, THBS1, CAMKK2, DAB2, DGKQ, RICTOR, ROR2, TEK, JAK2, FGFR2, FGF22, FGF10	603	198	10887	2.0060807075732447	0.9999962992605943	1.0	1.0
GOTERM_MF_FAT	GO:0017046~peptide hormone binding	7	0.7936507936507936	0.003650567663652893	VIPR1, AGXT2, NPR2, NPR3, PIK3R1, PRLR, CRHR2	559	28	10113	4.522808586762075	0.9801701925929776	1.0	1.0
GOTERM_BP_FAT	GO:0019221~cytokine-mediated signaling pathway	14	1.5873015873015872	0.00470897921446754	LOC115491043, IL11RA, IL31RA, LIFR, LOC115491041, LOC115491052, LOC115491042, PIK3R1, OSMR, PRLR, UGCG, CCL19, IL6ST, JAK2	603	104	10887	2.430443934175277	0.9999999942542626	1.0	1.0
GOTERM_CC_FAT	GO:0009897~external side of plasma membrane	14	1.5873015873015872	0.004908884148382717	TFRC, AGXT2, IL11RA, ITGA2, ITGA1, IL31RA, LIFR, LOC115491052, OSMR, EFNA5, PRLR, THBS1, IL6ST, LOC100227477	472	106	8631	2.4151343140390154	0.9403771939093168	1.0	1.0
GOTERM_BP_FAT	GO:0010562~positive regulation of phosphorus metabolic process	22	2.494331065759637	0.005223957027093963	NIBAN1, NTRK2, LTK, LOC115491043, LRRK1, SH2D3C, IL31RA, LOC115491041, NRG1, LOC115491042, FGF1, THBS1, CAMKK2, DAB2, DGKQ, RICTOR, ROR2, TEK, JAK2, FGFR2, FGF22, FGF10	603	207	10887	1.9188598072439735	0.9999999992825741	1.0	1.0
GOTERM_BP_FAT	GO:0045937~positive regulation of phosphate metabolic process	22	2.494331065759637	0.005223957027093963	NIBAN1, NTRK2, LTK, LOC115491043, LRRK1, SH2D3C, IL31RA, LOC115491041, NRG1, LOC115491042, FGF1, THBS1, CAMKK2, DAB2, DGKQ, RICTOR, ROR2, TEK, JAK2, FGFR2, FGF22, FGF10	603	207	10887	1.9188598072439735	0.9999999992825741	1.0	1.0
