Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_FAT	GO:0006163~purine nucleotide metabolic process	16	2.5806451612903225	7.408510712217024E-4	STOML2, PDE4D, LOC100189940, LOC100190380, NUDT2, AK3, NMNAT3, LOC100232212, HINT1, ATP5F1A, LOC116806651, NNT, LOC116806862, PDE8B, NUDT12, ATP5ME	411	155	10887	2.734353661408053	0.8982901843128215	1.0	1.0
GOTERM_CC_FAT	GO:0071141~SMAD protein complex	5	0.8064516129032258	0.0010648861554666995	SMAD2, LOC116806871, LOC116806878, SMAD7, LOC121468129	325	13	8631	10.214201183431953	0.4003551428700668	0.2555726773120079	0.2555726773120079
GOTERM_CC_FAT	GO:0071144~heteromeric SMAD protein complex	5	0.8064516129032258	0.0010648861554666995	SMAD2, LOC116806871, LOC116806878, SMAD7, LOC121468129	325	13	8631	10.214201183431953	0.4003551428700668	0.2555726773120079	0.2555726773120079
GOTERM_BP_FAT	GO:0009150~purine ribonucleotide metabolic process	13	2.0967741935483875	0.0011883538202740556	STOML2, PDE4D, LOC100189940, LOC100190380, NUDT2, AK3, LOC100232212, HINT1, ATP5F1A, LOC116806651, LOC116806862, PDE8B, ATP5ME	411	114	10887	3.0206812652068127	0.9744485828315027	1.0	1.0
GOTERM_BP_FAT	GO:0009259~ribonucleotide metabolic process	14	2.258064516129032	0.0013985354681263975	STOML2, PDE4D, LOC100189940, LOC100190380, NUDT2, AK3, LOC100232212, HINT1, ATP5F1A, LOC116806651, LOC116806862, RFK, PDE8B, ATP5ME	411	132	10887	2.809444813094448	0.9866481749910367	1.0	1.0
GOTERM_MF_FAT	GO:0005126~cytokine receptor binding	10	1.6129032258064515	0.0015150137025631467	SMAD2, LOC116806871, LOC115491043, LIFR, LOC115491042, CCL19, OSMR, JAK2, TNFSF13B, SMAD7	379	73	10113	3.6552571655763186	0.7247992050548806	1.0	1.0
GOTERM_BP_FAT	GO:0015074~DNA integration	4	0.6451612903225806	0.0016571181301779695	LOC121468376, GIN1, LOC116806961, LOC121468358	411	7	10887	15.13660062565172	0.9939927691378512	1.0	1.0
GOTERM_BP_FAT	GO:0019637~organophosphate metabolic process	35	5.64516129032258	0.0021490524219582815	MOCS2, STOML2, PIGO, HEXB, PGAP4, LOC100189940, HSD17B4, PCSK9, NUDT2, AK3, LOC100232212, HINT1, ATP5F1A, LOC116806651, SPTLC1, PPIP5K2, NNT, RFK, NKX2-1, PIP5K1B, PDE8B, ATP5ME, NUDT12, SLC30A5, PDE4D, ACOT12, LOC100190380, NMNAT3, LOC100219012, LOC116806862, DGKQ, PIK3C3, PIGG, PLPP1, GNE	411	539	10887	1.7200682529149682	0.9986861709972922	1.0	1.0
GOTERM_BP_FAT	GO:0019693~ribose phosphate metabolic process	14	2.258064516129032	0.002230276178931038	STOML2, PDE4D, LOC100189940, LOC100190380, NUDT2, AK3, LOC100232212, HINT1, ATP5F1A, LOC116806651, LOC116806862, RFK, PDE8B, ATP5ME	411	139	10887	2.667961980780339	0.9989778563818754	1.0	1.0
GOTERM_BP_FAT	GO:0006754~ATP biosynthetic process	5	0.8064516129032258	0.003192802072823297	STOML2, ATP5F1A, LOC116806651, NUDT2, ATP5ME	411	17	10887	7.790897380850151	0.9999479004505275	1.0	1.0
GOTERM_BP_FAT	GO:0009117~nucleotide metabolic process	17	2.741935483870968	0.003316607296505147	STOML2, PDE4D, LOC100189940, LOC100190380, NUDT2, AK3, NMNAT3, LOC100232212, HINT1, ATP5F1A, LOC116806651, NNT, LOC116806862, RFK, PDE8B, NUDT12, ATP5ME	411	198	10887	2.274312467743125	0.9999644800597085	1.0	1.0
GOTERM_MF_FAT	GO:0070411~I-SMAD binding	5	0.8064516129032258	0.003875380583565138	SMAD2, LOC116806871, LOC116806878, SMAD7, LOC121468129	379	18	10113	7.412049252418646	0.9632771403262022	1.0	1.0
GOTERM_BP_FAT	GO:0009166~nucleotide catabolic process	8	1.2903225806451613	0.0043490274238424335	HINT1, LOC116806862, PDE4D, LOC100189940, LOC100190380, PDE8B, LOC100232212, NUDT12	411	55	10887	3.8529528865295286	0.999998546666772	1.0	1.0
GOTERM_MF_FAT	GO:0004553~hydrolase activity, hydrolyzing O-glycosyl compounds	9	1.4516129032258065	0.004811871854750032	LOC115491279, LOC100231240, CEMIP2, IDUA, MAN2A1, HEXB, LOC100218765, MYORG, GNE	379	71	10113	3.3823999405403393	0.9835064641520295	1.0	1.0
GOTERM_MF_FAT	GO:0004523~RNA-DNA hybrid ribonuclease activity	4	0.6451612903225806	0.005109799415864678	LOC121468354, LOC116806961, LOC116806968, LOC121468358	379	10	10113	10.673350923482849	0.9872163353310612	1.0	1.0
GOTERM_BP_FAT	GO:0006195~purine nucleotide catabolic process	7	1.129032258064516	0.005146725714644324	HINT1, PDE4D, LOC100189940, LOC100190380, PDE8B, LOC100232212, NUDT12	411	43	10887	4.312171108470549	0.9999998772957075	1.0	1.0
GOTERM_BP_FAT	GO:0019221~cytokine-mediated signaling pathway	11	1.7741935483870968	0.0057268327521992225	UGCG, LOC115491043, IL11RA, LIFR, LOC115491042, CCL19, IL6ST, OSMR, JAK2, PRLR, TNFSF13B	411	104	10887	2.801726558113419	0.999999979693372	1.0	1.0
GOTERM_BP_FAT	GO:0072521~purine-containing compound metabolic process	18	2.903225806451613	0.006169000048045685	STOML2, PDE4D, LOC100189940, ACOT12, LOC100190380, NUDT2, HSD17B4, AK3, NMNAT3, LOC100232212, HINT1, ATP5F1A, LOC116806651, NNT, LOC116806862, PDE8B, NUDT12, ATP5ME	411	230	10887	2.0730561726436054	0.9999999948492414	1.0	1.0
GOTERM_CC_FAT	GO:0005875~microtubule associated complex	9	1.4516129032258065	0.008000710556780822	LOC116806990, FNTA, LOC100232083, KIF4A, DCTN3, HAUS6, DNAI1, RPP25L, HAUS1	325	77	8631	3.104055944055944	0.9788430375245766	1.0	1.0
GOTERM_BP_FAT	GO:0031649~heat generation	3	0.4838709677419355	0.00807116495384604	LOC116806883, PRKAA1, ARRDC3	411	4	10887	19.86678832116788	0.9999999999860071	1.0	1.0
GOTERM_BP_FAT	GO:0006281~DNA repair	21	3.387096774193549	0.008615122631509525	XRCC4, RMI1, XRCC5, SYCP1, XPA, SMC5, APTX, FANCG, INIP, LOC100217858, LOC116806872, NIPBL, RAD51D, LOC116806862, MSH3, POLD1, APEX1, ERCC8, RAD17, RAD1, POLK	411	297	10887	1.8729632087296322	0.9999999999974224	1.0	1.0
GOTERM_BP_FAT	GO:0009205~purine ribonucleoside triphosphate metabolic process	8	1.2903225806451613	0.009178345791432459	STOML2, ATP5F1A, LOC116806651, LOC116806862, NUDT2, AK3, LOC100232212, ATP5ME	411	63	10887	3.3636890279226046	0.9999999999995532	1.0	1.0
GOTERM_BP_FAT	GO:0071345~cellular response to cytokine stimulus	16	2.5806451612903225	0.01024775642237119	SLC12A2, LOC115491043, GLDC, XRCC5, IL11RA, LIFR, LOC115491042, OSMR, KLF4, PRLR, TNFSF13B, SMAD7, UGCG, CCL19, IL6ST, JAK2	411	204	10887	2.0775726348933734	0.999999999999984	1.0	1.0
GOTERM_BP_FAT	GO:0072523~purine-containing compound catabolic process	7	1.129032258064516	0.010766239453222682	HINT1, PDE4D, LOC100189940, LOC100190380, PDE8B, LOC100232212, NUDT12	411	50	10887	3.7084671532846714	0.9999999999999968	1.0	1.0
GOTERM_BP_FAT	GO:0048268~clathrin coat assembly	4	0.6451612903225806	0.011440617102165816	GAK, LOC116806920, FCHO2, CLTA	411	13	10887	8.15047725996631	0.9999999999999997	1.0	1.0
GOTERM_BP_FAT	GO:1904888~cranial skeletal system development	5	0.8064516129032258	0.011581378084967599	SMAD2, LOC116806872, NIPBL, LOC116806871, RIC1	411	24	10887	5.518552311435523	0.9999999999999998	1.0	1.0
GOTERM_BP_FAT	GO:1901292~nucleoside phosphate catabolic process	8	1.2903225806451613	0.011740723177701628	HINT1, LOC116806862, PDE4D, LOC100189940, LOC100190380, PDE8B, LOC100232212, NUDT12	411	66	10887	3.210794072107941	0.9999999999999999	1.0	1.0
GOTERM_BP_FAT	GO:0009144~purine nucleoside triphosphate metabolic process	8	1.2903225806451613	0.011740723177701628	STOML2, ATP5F1A, LOC116806651, LOC116806862, NUDT2, AK3, LOC100232212, ATP5ME	411	66	10887	3.210794072107941	0.9999999999999999	1.0	1.0
GOTERM_BP_FAT	GO:0014070~response to organic cyclic compound	15	2.4193548387096775	0.012128093482818937	SMAD2, PTGFR, NTRK2, PRKAA1, KDM4C, LOC115491043, PTCH1, LOC100230245, LOC115491042, DNAJA1, DHFR, LOC116806871, DGKQ, LOC116806898, JAK2	411	189	10887	2.1023056424516278	1.0	1.0	1.0
GOTERM_BP_FAT	GO:0046034~ATP metabolic process	7	1.129032258064516	0.012956157587170806	STOML2, ATP5F1A, LOC116806651, LOC116806862, NUDT2, LOC100232212, ATP5ME	411	52	10887	3.565833801235261	1.0	1.0	1.0
GOTERM_BP_FAT	GO:0009154~purine ribonucleotide catabolic process	6	0.967741935483871	0.013331898114120846	HINT1, PDE4D, LOC100189940, LOC100190380, PDE8B, LOC100232212	411	38	10887	4.182481751824818	1.0	1.0	1.0
GOTERM_BP_FAT	GO:0009145~purine nucleoside triphosphate biosynthetic process	5	0.8064516129032258	0.013386506791795967	STOML2, ATP5F1A, LOC116806651, NUDT2, ATP5ME	411	25	10887	5.2978102189781024	1.0	1.0	1.0
GOTERM_BP_FAT	GO:0009206~purine ribonucleoside triphosphate biosynthetic process	5	0.8064516129032258	0.013386506791795967	STOML2, ATP5F1A, LOC116806651, NUDT2, ATP5ME	411	25	10887	5.2978102189781024	1.0	1.0	1.0
GOTERM_BP_FAT	GO:0006753~nucleoside phosphate metabolic process	20	3.225806451612903	0.01395793804923543	STOML2, PDE4D, LOC100189940, ACOT12, LOC100190380, NUDT2, HSD17B4, AK3, NMNAT3, LOC100232212, HINT1, ATP5F1A, LOC116806651, NNT, LOC116806862, RFK, PDE8B, GNE, NUDT12, ATP5ME	411	291	10887	1.820553339855018	1.0	1.0	1.0
GOTERM_MF_FAT	GO:0036094~small molecule binding	160	25.806451612903224	0.014343583731540231	RAB3C, LOC100224554, NCF1, GLDC, ZFAND5, NUDT2, SMC5, RORB, LOC116806879, MARCHF11, LOC100232212, LOC121468358, LOC116806870, LOC100231240, LOC121468115, LOC116806871, PPIP5K2, MTREX, RPL37, PDE8B, PELO, TRIM23, NUDT12, CSNK1G3, STARD4, LOC100229438, AGTPBP1, LOC100226207, ACTN2, SLC30A5, ACOT12, PRLR, PIAS2, LOC100217858, LOC116806641, LOC116806882, ZFYVE16, LOX, LOC105760853, MSH3, KATNAL2, DGKQ, ADAM12, SELENOP, IDNK, ALPK3, RAB38, EPHA1, TARS1, TRABD2A, RNF180, ZCCHC9, RHOBTB3, XPA, AK3, LOC116806932, LOC100223925, AK6, RASGRP1, NLN, LOC116806651, MAN2A1, LOC116806898, ARSK, DNAJC21, PIP5K1B, SLC38A9, SMAD2, SYT4, LVRN, XRCC5, PTCH1, PLK2, LOC100223636, NR2F1, SREK1IP1, MCC, SMARCA2, LOC100219012, SMAD7, DHFR, GRHPR, FER, CDK7, KIF4A, RAD17, DHX29, LOC100227745, NRP1, MOCS2, TUT7, ZCCHC10, MAST4, GFM2, CETN3, DIRAS2, CHD1, SPTLC1, NNT, RFK, RIOK2, POLK, JAK2, ADAMTS6, RMI1, ITGA2, PDE4D, KIF24, TOPORS, PJA2, KIF27, VAV2, LOC121468025, GAK, RNF144B, RAD51D, UBE2R2, AOPEP, LOC100232083, PIK3C3, FXN, DCP2, MATN3, NIM1K, PRKAA1, STOML2, GALT, UHRF2, RNF38, LOC116806979, ATP10A, THBS4, ATP5F1A, CHD1W, POLD1, FCHO2, ZSWIM6, MARCHF3, LOC100190109, RNF20, NTRK2, MAP3K1, KDM4C, ERCC6L2, SUSD1, LOC100230245, LOC100218765, NMNAT3, APTX, LOC121468129, DNAJA1, SH3RF2, SNX18, RIT2, LOC116806862, PSAT1, APEX1, SYT10, LOC116806985, TEK	379	3699	10113	1.1541877181381834	0.9999954244226016	1.0	1.0
GOTERM_BP_FAT	GO:0009199~ribonucleoside triphosphate metabolic process	8	1.2903225806451613	0.014783977098428724	STOML2, ATP5F1A, LOC116806651, LOC116806862, NUDT2, AK3, LOC100232212, ATP5ME	411	69	10887	3.071194329842378	1.0	1.0	1.0
GOTERM_MF_FAT	GO:0097159~organic cyclic compound binding	161	25.967741935483872	0.016397202383851034	SRP19, RAB3C, LOC100224554, LOC116806918, GLDC, ZFAND5, LOC116806878, NUDT2, PHAX, SMC5, RORB, LOC100232212, LOC121468358, LOC116806870, LOC121468354, LOC121468115, LOC116806871, DACH1, PPIP5K2, GPBP1, HABP4, MTREX, RPL37, TRIM23, CSNK1G3, STARD4, GIN1, SECISBP2, ACOT12, LOC116806889, RFX3, PRLR, RPP25L, LOC116806881, LOC116808147, LOC116806641, LOC116806882, LOC105760853, MSH3, KATNAL2, SUB1, DGKQ, IDNK, ALPK3, RAB38, SREK1, EPHA1, TARS1, DLX2, ZCCHC9, RHOBTB3, XPA, AK3, LOC116806932, AK6, LOC116806894, LOC116806651, LOC116806898, DNAJC21, NKX2-1, PIP5K1B, BRIX1, SMAD2, XRCC4, XRCC5, PTCH1, PLK2, LOC100223636, NR2F1, SREK1IP1, TDRD7, LSM5, SMARCA2, PUM3, DHFR, GRHPR, FER, CDK7, HNRNPK, KIF4A, RAD17, DHX29, LOC100221697, LOC100227745, ZNF131, MOCS2, TUT7, ZCCHC10, MAST4, SYCP1, GFM2, DIRAS2, PSIP1, CHD1, ELAVL2, SPTLC1, NNT, SNAPC3, RFK, RIOK2, POLK, JAK2, ZNF367, ZNF366, FOXD1, RMI1, KIF24, LOC116806968, TOPORS, KIF27, PTBP3, LOC121468025, GAK, CREB3, RAD51D, SETBP1, UBE2R2, LOC100232083, LOC116806961, POLR1E, PIK3C3, LOC100226365, DCP2, NIM1K, PRKAA1, UHRF2, LOC115491242, DCTN3, LOC116806979, ATP10A, NOL6, LOC121468376, ATP5F1A, CHD1W, TAF1C, POLD1, LOC116806853, STOX1, LOC100190109, PAIP1, NTRK2, TRMT10B, MAP3K1, PTCD2, ERCC6L2, ELP1, LOC100230245, NMNAT3, KLF4, APTX, LOC121468129, DNAJA1, RIT2, LOC116806862, PSAT1, APEX1, LOC116806864, UBAP1, AGGF1, TEK, SSBP2	379	3738	10113	1.1492840413862617	0.9999992244464847	1.0	1.0
GOTERM_BP_FAT	GO:0006259~DNA metabolic process	26	4.193548387096775	0.016962459275164272	SYCP1, XPA, SMC5, LOC121468358, LOC121468376, NIPBL, EXOSC5, LOC116806872, POLD1, POLK, XRCC4, GIN1, RMI1, XRCC5, APTX, INIP, FANCG, LOC100217858, RAD51D, LOC116806961, LOC116806862, MSH3, APEX1, RAD17, ERCC8, RAD1	411	422	10887	1.6320268447088944	1.0	1.0	1.0
GOTERM_CC_FAT	GO:1990904~ribonucleoprotein complex	31	5.0	0.017082690633500253	SRP19, MRPL17, PPWD1, PHAX, MRPS30, CWC27, LOC100219485, ELAVL2, NOL6, LOC116806891, RIOK2, RPL37, RPL17, LOC100190109, UTP15, WDR36, XRCC5, SECISBP2, LOC100224449, RPS6, LSM5, RPP25L, RCL1, SMU1, LOC116806641, NSA2, HNRNPK, LOC116806864, SRFBP1, DHX29, RPS23	325	534	8631	1.5416940363007778	0.99974405189991	1.0	1.0
GOTERM_MF_FAT	GO:0008270~zinc ion binding	30	4.838709677419355	0.017793489600502064	ZCCHC10, GALT, TUT7, ZFAND5, ZCCHC9, LOC116806932, RORB, LOC116806879, MARCHF11, LOC121468358, DNAJC21, ZSWIM6, MARCHF3, TRIM23, NUDT12, LOC100229438, MAP3K1, KDM4C, AGTPBP1, LVRN, LOC100226207, NR2F1, SREK1IP1, PIAS2, LOC100217858, RNF144B, LOC116806641, LOC116806882, AOPEP, LOC116806985	379	515	10113	1.5543714937110948	0.9999997684792093	1.0	1.0
GOTERM_BP_FAT	GO:1903828~negative regulation of protein localization	8	1.2903225806451613	0.018351554159678325	DNAJA1, LOC116806881, BTF3, ABHD17B, ACTN2, LOC116806862, FBXO4, NDUFAF2	411	72	10887	2.943227899432279	1.0	1.0	1.0
GOTERM_BP_FAT	GO:0006796~phosphate-containing compound metabolic process	57	9.193548387096774	0.02016411684504163	LOC100227745, MOCS2, PIGO, MAST4, PGAP4, HEXB, LOC100189940, PCSK9, NUDT2, LOC100232212, CDC14B, HINT1, LOC121468115, SPTLC1, NNT, PPIP5K2, RFK, RIOK2, PDE8B, JAK2, NUDT12, CSNK1G3, SLC30A5, PDE4D, ACOT12, LOC100190380, HDHD2, GAK, DGKQ, PIK3C3, ALPK3, EPHA1, PIGG, PLPP1, GNE, LOC100220295, NIM1K, PRKAA1, STOML2, HSD17B4, AK3, ATP5F1A, LOC116806651, NKX2-1, PIP5K1B, ATP5ME, NTRK2, MAP3K1, PLK2, LOC100223636, NMNAT3, LOC100219012, PTPRD, CDK7, FER, LOC116806862, TEK	411	1134	10887	1.3314602402193643	1.0	1.0	1.0
GOTERM_BP_FAT	GO:0006793~phosphorus metabolic process	57	9.193548387096774	0.02016411684504163	LOC100227745, MOCS2, PIGO, MAST4, PGAP4, HEXB, LOC100189940, PCSK9, NUDT2, LOC100232212, CDC14B, HINT1, LOC121468115, SPTLC1, NNT, PPIP5K2, RFK, RIOK2, PDE8B, JAK2, NUDT12, CSNK1G3, SLC30A5, PDE4D, ACOT12, LOC100190380, HDHD2, GAK, DGKQ, PIK3C3, ALPK3, EPHA1, PIGG, PLPP1, GNE, LOC100220295, NIM1K, PRKAA1, STOML2, HSD17B4, AK3, ATP5F1A, LOC116806651, NKX2-1, PIP5K1B, ATP5ME, NTRK2, MAP3K1, PLK2, LOC100223636, NMNAT3, LOC100219012, PTPRD, CDK7, FER, LOC116806862, TEK	411	1134	10887	1.3314602402193643	1.0	1.0	1.0
GOTERM_BP_FAT	GO:0015986~proton motive force-driven ATP synthesis	4	0.6451612903225806	0.02060633709731312	STOML2, ATP5F1A, LOC116806651, ATP5ME	411	16	10887	6.622262773722627	1.0	1.0	1.0
GOTERM_BP_FAT	GO:0003007~heart morphogenesis	9	1.4516129032258065	0.0211213695348155	SMAD2, LOC116806872, NIPBL, LOC116806871, PTCD2, PTCH1, CERT1, SMAD7, CCDC40	411	91	10887	2.6197962621320285	1.0	1.0	1.0
GOTERM_MF_FAT	GO:0016798~hydrolase activity, acting on glycosyl bonds	9	1.4516129032258065	0.02148922879935753	LOC115491279, LOC100231240, CEMIP2, IDUA, MAN2A1, HEXB, LOC100218765, MYORG, GNE	379	92	10113	2.610330388895262	0.9999999906387328	1.0	1.0
GOTERM_BP_FAT	GO:0055086~nucleobase-containing small molecule metabolic process	20	3.225806451612903	0.022320751472377352	STOML2, PDE4D, LOC100189940, ACOT12, LOC100190380, NUDT2, HSD17B4, AK3, NMNAT3, LOC100232212, HINT1, ATP5F1A, LOC116806651, NNT, LOC116806862, RFK, PDE8B, GNE, NUDT12, ATP5ME	411	306	10887	1.7313105290778115	1.0	1.0	1.0
GOTERM_MF_FAT	GO:0046332~SMAD binding	6	0.967741935483871	0.023332357855306594	SMAD2, RANBP3L, LOC116806871, LOC116806878, SMAD7, LOC121468129	379	44	10113	3.6386423602782445	0.9999999981184043	1.0	1.0
GOTERM_CC_FAT	GO:0005667~transcription regulator complex	18	2.903225806451613	0.02390454215839903	SMAD2, CCNH, LOC116806878, RFX3, KLF4, MED18, SMAD7, LOC121468129, LOC100217858, CDK7, LOC116806894, LOC116806871, DACH1, SNAPC3, SUB1, NKX2-1, LOC100221996, BDP1	325	268	8631	1.7836739380022963	0.9999909572592511	1.0	1.0
GOTERM_BP_FAT	GO:0007200~phospholipase C-activating G protein-coupled receptor signaling pathway	6	0.967741935483871	0.024031721863649266	ACTN2, LOC116806898, F2R, LPAR1, LOC100230245, F2RL2	411	44	10887	3.6121433311214335	1.0	1.0	1.0
GOTERM_BP_FAT	GO:0009261~ribonucleotide catabolic process	6	0.967741935483871	0.024031721863649266	HINT1, PDE4D, LOC100189940, LOC100190380, PDE8B, LOC100232212	411	44	10887	3.6121433311214335	1.0	1.0	1.0
GOTERM_BP_FAT	GO:0048701~embryonic cranial skeleton morphogenesis	4	0.6451612903225806	0.024337808889138987	SMAD2, LOC116806872, NIPBL, LOC116806871	411	17	10887	6.23271790468012	1.0	1.0	1.0
GOTERM_MF_FAT	GO:0034713~type I transforming growth factor beta receptor binding	3	0.4838709677419355	0.02583255483576693	SMAD2, LOC116806871, SMAD7	379	7	10113	11.435733132303053	0.9999999997875758	1.0	1.0
GOTERM_MF_FAT	GO:0008318~protein prenyltransferase activity	3	0.4838709677419355	0.02583255483576693	PTAR1, FNTA, PGGT1B	379	7	10113	11.435733132303053	0.9999999997875758	1.0	1.0
GOTERM_BP_FAT	GO:0018342~protein prenylation	3	0.4838709677419355	0.026202902654567997	PTAR1, FNTA, PGGT1B	411	7	10887	11.35245046923879	1.0	1.0	1.0
GOTERM_BP_FAT	GO:0070493~thrombin-activated receptor signaling pathway	3	0.4838709677419355	0.026202902654567997	DGKQ, F2R, F2RL2	411	7	10887	11.35245046923879	1.0	1.0	1.0
GOTERM_BP_FAT	GO:0097354~prenylation	3	0.4838709677419355	0.026202902654567997	PTAR1, FNTA, PGGT1B	411	7	10887	11.35245046923879	1.0	1.0	1.0
GOTERM_BP_FAT	GO:0016072~rRNA metabolic process	13	2.0967741935483875	0.02704771031666712	UTP15, WDR36, AK6, NOL6, RCL1, EXOSC5, NSA2, POLR1E, BRIX1, MTREX, RIOK2, SRFBP1, PELO	411	170	10887	2.0256333190210394	1.0	1.0	1.0
