Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_FAT	GO:0004523~RNA-DNA hybrid ribonuclease activity	4	2.7777777777777777	3.525274597827747E-5	LOC121468354, LOC116806961, LOC116806968, LOC121468358	70	10	10113	57.78857142857142	0.01257620902999046	0.012655735806201612	0.01254997756826678
GOTERM_BP_FAT	GO:0015074~DNA integration	3	2.083333333333333	9.362888724922232E-4	LOC121468376, LOC116806961, LOC121468358	75	7	10887	62.21142857142857	0.6756546424705416	1.0	1.0
GOTERM_MF_FAT	GO:0016891~RNA endonuclease activity, producing 5'-phosphomonoesters	4	2.7777777777777777	0.0011917118594241861	LOC121468354, LOC116806961, LOC116806968, LOC121468358	70	31	10113	18.64147465437788	0.34824052079716517	0.15262019778745584	0.15134482009006764
GOTERM_MF_FAT	GO:0097159~organic cyclic compound binding	39	27.083333333333332	0.0016023662220117133	LOC116806918, DLX2, SYCP1, LOC116806878, LOC116806932, LOC116806979, ATP10A, LOC121468358, LOC116806870, LOC121468376, LOC121468354, LOC116806894, LOC116806651, LOC116806871, CHD1W, LOC116806898, LOC116806853, STOX1, LOC100190109, XRCC5, LOC100223636, LOC116806889, LOC116806968, NMNAT3, LOC121468025, LOC116806881, LOC116806641, RAD51D, LOC116806882, LOC116806961, LOC100232083, LOC116806862, APEX1, KIF4A, LOC116806864, RAB38, ALPK3, LOC100226365, EPHA1	70	3738	10113	1.5073263013070397	0.4376949860082261	0.15262019778745584	0.15134482009006764
GOTERM_MF_FAT	GO:0016893~endonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters	4	2.7777777777777777	0.0018474124329667687	LOC121468354, LOC116806961, LOC116806968, LOC121468358	70	36	10113	16.05238095238095	0.4851267063881626	0.15262019778745584	0.15134482009006764
GOTERM_MF_FAT	GO:0004519~endonuclease activity	5	3.4722222222222223	0.0021256294956470173	LOC121468354, LOC116806961, APEX1, LOC116806968, LOC121468358	70	80	10113	9.029464285714285	0.5341600575829814	0.15262019778745584	0.15134482009006764
GOTERM_MF_FAT	GO:0035613~RNA stem-loop binding	3	2.083333333333333	0.0028973347560568383	LOC116806881, LOC116806961, LOC121468358	70	12	10113	36.11785714285714	0.6471290662806817	0.17335719623740084	0.1719085288593724
GOTERM_MF_FAT	GO:0004521~RNA endonuclease activity	4	2.7777777777777777	0.006508751945299386	LOC121468354, LOC116806961, LOC116806968, LOC121468358	70	56	10113	10.31938775510204	0.9040837072185908	0.33380599262321137	0.3310165275037973
GOTERM_BP_FAT	GO:0006259~DNA metabolic process	9	6.25	0.0076692183710480545	LOC121468376, RAD51D, LOC116806872, SYCP1, LOC116806961, LOC116806862, XRCC5, APEX1, LOC121468358	75	422	10887	3.095829383886256	0.9999042654426407	1.0	1.0
GOTERM_MF_FAT	GO:0003676~nucleic acid binding	25	17.36111111111111	0.0080862038483829	LOC116806918, DLX2, SYCP1, LOC116806878, LOC116806932, LOC121468358, LOC121468376, LOC121468354, LOC116806894, LOC116806871, CHD1W, LOC116806853, STOX1, LOC100190109, XRCC5, LOC116806889, LOC116806968, LOC116806881, LOC116806641, RAD51D, LOC116806882, LOC116806961, APEX1, LOC116806864, LOC100226365	70	2187	10113	1.651479521849892	0.9457822943023795	0.3628683976961827	0.35983607125303907
