Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_FAT	GO:0019637~organophosphate metabolic process	29	6.092436974789916	0.00459826297713173	MOCS2, STOML2, PIGO, HEXB, PGAP4, HSD17B4, NUDT2, AK3, LOC100232212, HINT1, ATP5F1A, SPTLC1, PPIP5K2, NNT, RFK, NKX2-1, PIP5K1B, PDE8B, ATP5ME, NUDT12, SLC30A5, PDE4D, ACOT12, LOC100219012, DGKQ, PIK3C3, PIGG, PLPP1, GNE	336	539	10887	1.7433242777630533	0.999997513983743	1.0	1.0
GOTERM_BP_FAT	GO:0019221~cytokine-mediated signaling pathway	10	2.100840336134454	0.004692272661949262	UGCG, LOC115491043, IL11RA, LIFR, LOC115491042, CCL19, IL6ST, OSMR, JAK2, PRLR	336	104	10887	3.1155563186813184	0.9999980916748973	1.0	1.0
GOTERM_BP_FAT	GO:0016072~rRNA metabolic process	13	2.73109243697479	0.0062715842355048675	UTP15, WDR36, AK6, NOL6, RCL1, EXOSC5, NSA2, POLR1E, BRIX1, MTREX, RIOK2, SRFBP1, PELO	336	170	10887	2.477783613445378	0.9999999776342051	1.0	1.0
GOTERM_MF_FAT	GO:0005126~cytokine receptor binding	8	1.680672268907563	0.006629906971229946	SMAD2, LOC115491043, LIFR, LOC115491042, CCL19, OSMR, JAK2, SMAD7	309	73	10113	3.5866471605266663	0.9924726113231247	1.0	1.0
GOTERM_BP_FAT	GO:0071345~cellular response to cytokine stimulus	14	2.941176470588235	0.010389697991008043	SLC12A2, LOC115491043, GLDC, IL11RA, LIFR, LOC115491042, OSMR, KLF4, PRLR, SMAD7, UGCG, CCL19, IL6ST, JAK2	336	204	10887	2.2236519607843133	0.9999999999998006	1.0	1.0
GOTERM_BP_FAT	GO:0006643~membrane lipid metabolic process	10	2.100840336134454	0.010525425086109971	UGCG, SPTLC1, PIGO, HEXB, SLC30A5, PGAP4, ST8SIA4, PIGG, CERT1, HACD4	336	118	10887	2.745914043583535	0.9999999999998642	1.0	1.0
GOTERM_BP_FAT	GO:0006664~glycolipid metabolic process	7	1.4705882352941175	0.013599704021022112	UGCG, PIGO, HEXB, SLC30A5, PGAP4, ST8SIA4, PIGG	336	64	10887	3.5439453124999996	1.0	1.0	1.0
GOTERM_BP_FAT	GO:0006754~ATP biosynthetic process	4	0.8403361344537815	0.014250604115381062	STOML2, ATP5F1A, NUDT2, ATP5ME	336	17	10887	7.623949579831932	1.0	1.0	1.0
GOTERM_BP_FAT	GO:1903509~liposaccharide metabolic process	7	1.4705882352941175	0.014607173820688083	UGCG, PIGO, HEXB, SLC30A5, PGAP4, ST8SIA4, PIGG	336	65	10887	3.4894230769230767	1.0	1.0	1.0
GOTERM_BP_FAT	GO:0009247~glycolipid biosynthetic process	6	1.2605042016806722	0.016864293931836985	UGCG, PIGO, SLC30A5, PGAP4, ST8SIA4, PIGG	336	49	10887	3.967565597667638	1.0	1.0	1.0
GOTERM_BP_FAT	GO:0018193~peptidyl-amino acid modification	14	2.941176470588235	0.01727387008420924	CSNK1G3, AGTPBP1, MAST4, PPWD1, ZDHHC21, CWC27, TOPORS, PIAS2, TPGS2, FER, LOX, NAA35, JAK2, PPIC	336	218	10887	2.080848623853211	1.0	1.0	1.0
GOTERM_MF_FAT	GO:0008318~protein prenyltransferase activity	3	0.6302521008403361	0.017545113460796975	PTAR1, FNTA, PGGT1B	309	7	10113	14.026352288488209	0.9999977624458288	1.0	1.0
GOTERM_BP_FAT	GO:0018342~protein prenylation	3	0.6302521008403361	0.017894478621892865	PTAR1, FNTA, PGGT1B	336	7	10887	13.886479591836734	1.0	1.0	1.0
GOTERM_BP_FAT	GO:0070493~thrombin-activated receptor signaling pathway	3	0.6302521008403361	0.017894478621892865	DGKQ, F2R, F2RL2	336	7	10887	13.886479591836734	1.0	1.0	1.0
GOTERM_BP_FAT	GO:0097354~prenylation	3	0.6302521008403361	0.017894478621892865	PTAR1, FNTA, PGGT1B	336	7	10887	13.886479591836734	1.0	1.0	1.0
GOTERM_CC_FAT	GO:0005730~nucleolus	23	4.831932773109244	0.018391480358654407	UTP15, WDR36, AGTPBP1, SLC30A5, ZCCHC9, APTX, FANCG, PUM3, NOL6, CDC14B, SMAD7, RCL1, EXOSC5, NSA2, AOPEP, TAF1C, DGKQ, DNAJC21, HABP4, POLR1E, RAD17, BRIX1, SKP2	274	432	8631	1.6770833333333333	0.9997366012697161	1.0	1.0
GOTERM_BP_FAT	GO:0046467~membrane lipid biosynthetic process	8	1.680672268907563	0.018549970275685647	UGCG, SPTLC1, PIGO, SLC30A5, PGAP4, ST8SIA4, PIGG, HACD4	336	88	10887	2.9456168831168834	1.0	1.0	1.0
GOTERM_BP_FAT	GO:0006793~phosphorus metabolic process	48	10.084033613445378	0.0205424770451774	LOC100227745, LOC100220295, NIM1K, MOCS2, PRKAA1, STOML2, PIGO, MAST4, HEXB, PGAP4, HSD17B4, NUDT2, AK3, LOC100232212, CDC14B, HINT1, ATP5F1A, LOC121468115, SPTLC1, PPIP5K2, NNT, RFK, NKX2-1, RIOK2, PIP5K1B, PDE8B, JAK2, ATP5ME, NUDT12, CSNK1G3, NTRK2, MAP3K1, SLC30A5, PDE4D, PLK2, ACOT12, HDHD2, LOC100219012, PTPRD, GAK, CDK7, FER, DGKQ, PIK3C3, TEK, PIGG, PLPP1, GNE	336	1134	10887	1.3715041572184428	1.0	1.0	1.0
GOTERM_BP_FAT	GO:0006796~phosphate-containing compound metabolic process	48	10.084033613445378	0.0205424770451774	LOC100227745, LOC100220295, NIM1K, MOCS2, PRKAA1, STOML2, PIGO, MAST4, HEXB, PGAP4, HSD17B4, NUDT2, AK3, LOC100232212, CDC14B, HINT1, ATP5F1A, LOC121468115, SPTLC1, PPIP5K2, NNT, RFK, NKX2-1, RIOK2, PIP5K1B, PDE8B, JAK2, ATP5ME, NUDT12, CSNK1G3, NTRK2, MAP3K1, SLC30A5, PDE4D, PLK2, ACOT12, HDHD2, LOC100219012, PTPRD, GAK, CDK7, FER, DGKQ, PIK3C3, TEK, PIGG, PLPP1, GNE	336	1134	10887	1.3715041572184428	1.0	1.0	1.0
GOTERM_BP_FAT	GO:0009259~ribonucleotide metabolic process	10	2.100840336134454	0.020629710154675046	HINT1, STOML2, ATP5F1A, PDE4D, RFK, NUDT2, AK3, PDE8B, LOC100232212, ATP5ME	336	132	10887	2.4546807359307357	1.0	1.0	1.0
GOTERM_MF_FAT	GO:0004553~hydrolase activity, hydrolyzing O-glycosyl compounds	7	1.4705882352941175	0.020772314421463815	LOC115491279, CEMIP2, IDUA, MAN2A1, HEXB, MYORG, GNE	309	71	10113	3.2267195405442366	0.9999998006998895	1.0	1.0
GOTERM_BP_FAT	GO:0006163~purine nucleotide metabolic process	11	2.3109243697478994	0.02142333140928351	HINT1, STOML2, ATP5F1A, NNT, PDE4D, NUDT2, AK3, PDE8B, LOC100232212, NUDT12, ATP5ME	336	155	10887	2.2994815668202766	1.0	1.0	1.0
