Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_FAT	GO:0007154~cell communication	69	30.94170403587444	4.62648759321672E-9	RET, GPR26, LOC100224677, DGKB, IRS1, DIRAS2, NPY2R, LSP1, ADRA1B, INSYN2B, ROBO1, RPS6KA3, CSRP3, RPS6KA1, CCN5, ADORA1, RSPO3, IL13RA2, EPHB1, EPHA8, HPCAL1, TGFBR1, NR5A2, ADORA2A, BANK1, CASQ2, UTRN, DOCK2, MET, SEMA7A, SEMA3D, NPR2, PTGER3, SEMA3E, THBS1, RASGRP1, PTHLH, CACNA1G, SV2C, ACVR1C, SCUBE1, GLRA3, GPNMB, SV2B, GNG4, STAT4, LOC100220650, E2F7, CACNG5, LOC115496728, GDF10, WNT10A, HTR1E, GABRA5, RFTN1, GPR52, GPR50, NMBR, BMP7, ACVR2B, BMP6, ACVR2A, GNG13, TEC, KLF5, PPP1R1B, FGF18, LOC100221337, PLCH2	170	2256	10887	1.9587061952440552	9.77572061788834E-6	9.771141796873712E-6	9.54907039239931E-6
GOTERM_MF_FAT	GO:0038023~signaling receptor activity	31	13.901345291479823	2.4052847129582056E-8	RET, LOC100224677, GPR26, NPR2, PTGER3, NPY2R, RORB, ADRA1B, ROBO1, ACVR1C, GLRA3, ADORA1, IL13RA2, EPHB1, LOC100220650, LOC115496728, LOC115490562, LOC100225774, HTR1E, GABRA5, EPHA8, GPR52, GPR50, NMBR, NR2F2, ACVR2B, TGFBR1, ACVR2A, NR5A2, ADORA2A, MET	160	618	10113	3.1705400485436894	1.1376932124940176E-5	5.688498346146156E-6	5.351758486332008E-6
GOTERM_MF_FAT	GO:0060089~molecular transducer activity	31	13.901345291479823	2.4052847129582056E-8	RET, LOC100224677, GPR26, NPR2, PTGER3, NPY2R, RORB, ADRA1B, ROBO1, ACVR1C, GLRA3, ADORA1, IL13RA2, EPHB1, LOC100220650, LOC115496728, LOC115490562, LOC100225774, HTR1E, GABRA5, EPHA8, GPR52, GPR50, NMBR, NR2F2, ACVR2B, TGFBR1, ACVR2A, NR5A2, ADORA2A, MET	160	618	10113	3.1705400485436894	1.1376932124940176E-5	5.688498346146156E-6	5.351758486332008E-6
GOTERM_BP_FAT	GO:0023052~signaling	66	29.596412556053814	4.15784339182339E-8	RET, GPR26, LOC100224677, DGKB, IRS1, DIRAS2, NPY2R, LSP1, ADRA1B, INSYN2B, ROBO1, RPS6KA3, CSRP3, RPS6KA1, CCN5, ADORA1, RSPO3, IL13RA2, EPHB1, EPHA8, HPCAL1, TGFBR1, NR5A2, ADORA2A, BANK1, CASQ2, UTRN, DOCK2, MET, SEMA7A, SEMA3D, NPR2, PTGER3, SEMA3E, THBS1, RASGRP1, PTHLH, SV2C, ACVR1C, SCUBE1, GLRA3, GPNMB, SV2B, GNG4, STAT4, LOC100220650, E2F7, LOC115496728, GDF10, WNT10A, HTR1E, GABRA5, RFTN1, GPR52, GPR50, NMBR, BMP7, ACVR2B, BMP6, ACVR2A, GNG13, TEC, KLF5, PPP1R1B, FGF18, PLCH2	170	2220	10887	1.9039268680445152	8.785137353739536E-5	4.3906826217655E-5	4.290894380361739E-5
GOTERM_BP_FAT	GO:0007165~signal transduction	60	26.905829596412556	5.694345238488602E-7	RET, GPR26, LOC100224677, DGKB, IRS1, DIRAS2, NPY2R, LSP1, ADRA1B, INSYN2B, ROBO1, RPS6KA3, CSRP3, RPS6KA1, CCN5, ADORA1, RSPO3, IL13RA2, EPHB1, EPHA8, HPCAL1, TGFBR1, NR5A2, ADORA2A, BANK1, CASQ2, DOCK2, MET, SEMA7A, SEMA3D, NPR2, PTGER3, SEMA3E, THBS1, RASGRP1, PTHLH, ACVR1C, SCUBE1, GLRA3, GNG4, STAT4, E2F7, LOC115496728, GDF10, WNT10A, HTR1E, GABRA5, RFTN1, GPR52, GPR50, NMBR, BMP7, ACVR2B, BMP6, ACVR2A, GNG13, TEC, PPP1R1B, FGF18, PLCH2	170	2061	10887	1.8643719496532238	0.0012024919179820515	4.008819047895976E-4	3.917709524080158E-4
KEGG_PATHWAY	tgu04060:Cytokine-cytokine receptor interaction	12	5.381165919282512	6.735638383366999E-7	GDF10, ACVR1C, LOC100224677, IL34, IL13RA2, RELT, CXCL14, BMP7, ACVR2B, ACVR2A, TGFBR1, BMP6	71	118	4879	6.988302697541179	4.0413027284524894E-5	4.1087394138538696E-5	3.9066702623528595E-5
GOTERM_MF_FAT	GO:0004888~transmembrane signaling receptor activity	25	11.210762331838566	1.0767369066521832E-6	RET, LOC100224677, GPR26, PTGER3, NPY2R, ADRA1B, ROBO1, ACVR1C, GLRA3, ADORA1, IL13RA2, EPHB1, LOC100220650, LOC115496728, HTR1E, GABRA5, EPHA8, GPR52, GPR50, NMBR, ACVR2B, TGFBR1, ACVR2A, ADORA2A, MET	160	505	10113	3.129022277227723	5.091671614113613E-4	1.6976551894882754E-4	1.597159744867405E-4
GOTERM_BP_FAT	GO:0009888~tissue development	26	11.659192825112108	1.6565426608296375E-6	RET, SEMA7A, LOC100224677, SEMA3D, NPR2, SEMA3E, BARX2, PTHLH, CSRP3, ACVR1C, POF1B, SOX8, E2F7, IRX2, TMEM132E, LAMB2, RIPK4, ACVR2B, TGFBR1, ACVR2A, RUNX2, NR5A2, KLF5, FGF18, TOX, MET	170	560	10887	2.973340336134454	0.0034941587113460626	7.141492782790652E-4	6.97918612863632E-4
GOTERM_BP_FAT	GO:0003008~system process	24	10.762331838565023	1.6906943141076355E-6	SLC24A2, CNTN5, EDN3, LAMB2, GABRA5, NPR2, CACNA2D1, PTGER3, HPCAL1, TBR1, ADRA1B, INSYN2B, AQP1, GNG13, CACNA1G, CSRP3, GLRA3, LOC100221337, CASQ2, NOS1, PPEF1, EPHB1, LOC115493804, CACNG5	170	486	10887	3.1625272331154686	0.003566066533496115	7.141492782790652E-4	6.97918612863632E-4
GOTERM_MF_FAT	GO:0048018~receptor ligand activity	15	6.726457399103139	2.3723763270353803E-6	GDF10, SEMA7A, WNT10A, EDN3, SEMA3D, IL34, SEMA3E, CXCL14, BMP7, BMP6, PTHLH, GREM1, GPNMB, STC2, FGF18	160	196	10113	4.837213010204081	0.0011215059753372225	2.685179714380665E-4	2.526226158349674E-4
