Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_FAT	GO:0060089~molecular transducer activity	16	16.666666666666664	1.3502628236312687E-5	LOC115490562, GPR26, LOC100224677, HTR1E, GABRA5, EPHA8, NPY2R, RORB, ADRA1B, ACVR2B, ACVR2A, ROBO1, GLRA3, ACVR1C, ADORA1, LOC115496728	70	618	10113	3.7403606102635227	0.003598735054498481	0.001478587537162998	0.001362294135363661
GOTERM_MF_FAT	GO:0038023~signaling receptor activity	16	16.666666666666664	1.3502628236312687E-5	LOC115490562, GPR26, LOC100224677, HTR1E, GABRA5, EPHA8, NPY2R, RORB, ADRA1B, ACVR2B, ACVR2A, ROBO1, GLRA3, ACVR1C, ADORA1, LOC115496728	70	618	10113	3.7403606102635227	0.003598735054498481	0.001478587537162998	0.001362294135363661
GOTERM_BP_FAT	GO:0007154~cell communication	32	33.33333333333333	1.455299154180556E-5	SEMA7A, LOC100224677, GPR26, SEMA3D, DIRAS2, NPY2R, SEMA3E, ADRA1B, RASGRP1, ROBO1, CACNA1G, RPS6KA3, SCUBE1, ACVR1C, GLRA3, SV2B, GNG4, ADORA1, RSPO3, E2F7, CACNG5, LOC115496728, HTR1E, GABRA5, EPHA8, ACVR2B, BMP6, ACVR2A, TEC, KLF5, PLCH2, UTRN	73	2256	10887	2.1154182454095016	0.01506426207882583	0.015164217186561394	0.015018687271143338
GOTERM_MF_FAT	GO:0017002~activin receptor activity	4	4.166666666666666	1.6613343114190988E-5	ACVR1C, LOC100224677, ACVR2B, ACVR2A	70	8	10113	72.23571428571428	0.004425975830487983	0.001478587537162998	0.001362294135363661
KEGG_PATHWAY	tgu04060:Cytokine-cytokine receptor interaction	7	7.291666666666667	2.7309447674421034E-5	ACVR1C, LOC100224677, RELT, CXCL14, ACVR2B, ACVR2A, BMP6	27	118	4879	10.719711236660387	7.916712597580977E-4	8.192834302326311E-4	8.192834302326311E-4
GOTERM_MF_FAT	GO:0004888~transmembrane signaling receptor activity	14	14.583333333333334	3.0349162033430757E-5	GPR26, LOC100224677, HTR1E, GABRA5, EPHA8, NPY2R, ADRA1B, ACVR2B, ACVR2A, ROBO1, GLRA3, ACVR1C, ADORA1, LOC115496728	70	505	10113	4.005148514851485	0.00807060559818129	0.002025806565731503	0.0018664734650559915
GOTERM_BP_FAT	GO:0010975~regulation of neuron projection development	8	8.333333333333332	7.929649669648328E-5	SEMA7A, BCL11A, SEMA3D, SEMA3E, TBR1, TOX, SRCIN1, ROBO1	73	158	10887	7.551239812727587	0.07938147530393314	0.02157353469206705	0.02136649501172092
GOTERM_BP_FAT	GO:0023052~signaling	30	31.25	8.734902013122131E-5	SEMA7A, LOC100224677, GPR26, SEMA3D, DIRAS2, NPY2R, SEMA3E, ADRA1B, RASGRP1, ROBO1, RPS6KA3, SCUBE1, ACVR1C, GLRA3, SV2B, GNG4, ADORA1, RSPO3, E2F7, LOC115496728, HTR1E, GABRA5, EPHA8, ACVR2B, BMP6, ACVR2A, TEC, KLF5, PLCH2, UTRN	73	2220	10887	2.015364679748241	0.08708180917700903	0.02157353469206705	0.02136649501172092
GOTERM_BP_FAT	GO:0120035~regulation of plasma membrane bounded cell projection organization	9	9.375	9.949382528781745E-5	SEMA7A, KLF5, BCL11A, SEMA3D, SEMA3E, TBR1, TOX, SRCIN1, ROBO1	73	221	10887	6.0734519308250166	0.09857390745608308	0.02157353469206705	0.02136649501172092
GOTERM_MF_FAT	GO:0004675~transmembrane receptor protein serine/threonine kinase activity	4	4.166666666666666	1.0485881641599193E-4	ACVR1C, LOC100224677, ACVR2B, ACVR2A	70	14	10113	41.27755102040816	0.027610439073761928	0.005599460796613969	0.005159053767666804
GOTERM_BP_FAT	GO:0031344~regulation of cell projection organization	9	9.375	1.0593497862609529E-4	SEMA7A, KLF5, BCL11A, SEMA3D, SEMA3E, TBR1, TOX, SRCIN1, ROBO1	73	223	10887	6.018981509920756	0.1046101200514814	0.02157353469206705	0.02136649501172092
GOTERM_BP_FAT	GO:0050920~regulation of chemotaxis	6	6.25	1.2422380820767976E-4	SEMA7A, SEMA3D, SEMA3E, TBR1, CXCL14, ROBO1	73	74	10887	12.092188078489448	0.12152996409420158	0.02157353469206705	0.02136649501172092
GOTERM_CC_FAT	GO:0048179~activin receptor complex	3	3.125	2.750827703243323E-4	ACVR1C, ACVR2B, ACVR2A	47	5	8631	110.18297872340425	0.030610346976219782	0.03108435304664955	0.02970893919502789
GOTERM_BP_FAT	GO:0009888~tissue development	13	13.541666666666666	2.7604705881946836E-4	SEMA7A, TMEM132E, LOC100224677, SEMA3D, RIPK4, SEMA3E, ACVR2B, ACVR2A, RUNX2, KLF5, ACVR1C, TOX, E2F7	73	560	10887	3.4621086105675145	0.25020603910109884	0.04109157646998372	0.04069722352881305
GOTERM_BP_FAT	GO:0007399~nervous system development	16	16.666666666666664	3.279716736339422E-4	SEMA7A, TMEM132E, SEMA3D, EPHA8, LGI2, SEMA3E, TBR1, RORB, POU3F2, ZDHHC2, POU3F3, RUNX2, ROBO1, ACVR1C, NEUROD6, TOX	73	841	10887	2.837326731060544	0.28974453459555216	0.04271831049082097	0.04230834589877854
GOTERM_BP_FAT	GO:0007165~signal transduction	27	28.125	4.425724899528861E-4	SEMA7A, LOC100224677, GPR26, SEMA3D, DIRAS2, NPY2R, SEMA3E, ADRA1B, RASGRP1, ROBO1, RPS6KA3, SCUBE1, ACVR1C, GLRA3, GNG4, ADORA1, RSPO3, E2F7, LOC115496728, HTR1E, GABRA5, EPHA8, ACVR2B, BMP6, ACVR2A, TEC, PLCH2	73	2061	10887	1.9537596458694741	0.3697919547702708	0.05124005939232303	0.05074831218126428
GOTERM_BP_FAT	GO:0002040~sprouting angiogenesis	4	4.166666666666666	8.95785016297948E-4	RSPO3, SEMA3E, E2F7, ROBO1	73	29	10887	20.570618800188946	0.6073051727411476	0.08485527154386018	0.08404092152904384
GOTERM_BP_FAT	GO:0050919~negative chemotaxis	4	4.166666666666666	8.95785016297948E-4	SEMA7A, SEMA3D, SEMA3E, ROBO1	73	29	10887	20.570618800188946	0.6073051727411476	0.08485527154386018	0.08404092152904384
GOTERM_MF_FAT	GO:0048185~activin binding	3	3.125	9.42443861637535E-4	LOC100224677, ACVR2B, ACVR2A	70	7	10113	61.916326530612245	0.22256182857026352	0.04193875184287031	0.038640198327138935
GOTERM_BP_FAT	GO:0050922~negative regulation of chemotaxis	4	4.166666666666666	9.906151097149338E-4	SEMA7A, SEMA3D, SEMA3E, ROBO1	73	30	10887	19.884931506849313	0.6443199382463828	0.08601841202691342	0.0851928994354843
GOTERM_MF_FAT	GO:0008467~[heparan sulfate]-glucosamine 3-sulfotransferase 1 activity	3	3.125	0.0012510540344904835	HS3ST5, HS3ST4, HS3ST2	70	8	10113	54.176785714285714	0.28411844187850455	0.04328188548536017	0.03987769224493858
KEGG_PATHWAY	tgu04350:TGF-beta signaling pathway	5	5.208333333333334	0.0012882559823599797	ACVR1C, LOC100224677, ACVR2B, ACVR2A, BMP6	27	92	4879	9.82085346215781	0.03669337170982678	0.01515930706316268	0.01515930706316268
GOTERM_MF_FAT	GO:0019199~transmembrane receptor protein kinase activity	5	5.208333333333334	0.0012968355201606043	ACVR1C, LOC100224677, EPHA8, ACVR2B, ACVR2A	70	70	10113	10.31938775510204	0.2928268932209539	0.04328188548536017	0.03987769224493858
GOTERM_BP_FAT	GO:0045595~regulation of cell differentiation	11	11.458333333333332	0.0014190125067831338	SEMA7A, KLF5, SEMA3D, SEMA3E, RORB, TOX, CXCL14, ACVR2B, ACVR2A, RUNX2, ROBO1	73	493	10887	3.327600100030565	0.7726082844708323	0.11373931015907889	0.11264776207693801
KEGG_PATHWAY	tgu04080:Neuroactive ligand-receptor interaction	7	7.291666666666667	0.001515930706316268	GLRA3, HTR1E, GABRA5, NPY2R, ADORA1, ADRA1B, LOC115496728	27	246	4879	5.141975308641975	0.043041588721486446	0.01515930706316268	0.01515930706316268
GOTERM_BP_FAT	GO:0032924~activin receptor signaling pathway	3	3.125	0.002727335555457846	ACVR1C, ACVR2B, ACVR2A	73	12	10887	37.28424657534246	0.9420686827927636	0.2029916891990768	0.20104359237374977
GOTERM_CC_FAT	GO:0005615~extracellular space	10	10.416666666666668	0.0029976420223044725	PCSK1, SEMA7A, SCUBE1, FLRT2, SEMA3D, STC2, LGI2, SEMA3E, CXCL14, BMP6	47	578	8631	3.17713318118236	0.2876901405406024	0.1693667742602027	0.16187266920444152
GOTERM_BP_FAT	GO:0010977~negative regulation of neuron projection development	4	4.166666666666666	0.0030245845245950864	SEMA7A, BCL11A, SEMA3D, SEMA3E	73	44	10887	13.557907845579079	0.9575497314878387	0.2086921125474177	0.20668930916404518
GOTERM_MF_FAT	GO:0000977~RNA polymerase II transcription regulatory region sequence-specific DNA binding	12	12.5	0.003074715945235633	TFAP2D, KLF5, BCL11A, SATB1, SATB2, TBR1, RORB, POU3F2, POU3F3, RUNX2, E2F7, FOXP1	70	623	10113	2.7827562485668427	0.5605423135876664	0.09121657304199045	0.08404223583644063
GOTERM_BP_FAT	GO:0007267~cell-cell signaling	8	8.333333333333332	0.003204485413396049	GLRA3, KLF5, SV2B, HTR1E, GABRA5, UTRN, ADRA1B, ACVR2B	73	294	10887	4.058149287112105	0.9648329211890413	0.2086921125474177	0.20668930916404518
GOTERM_BP_FAT	GO:0006935~chemotaxis	5	5.208333333333334	0.003558586905849082	SEMA7A, SEMA3D, SEMA3E, CXCL14, ROBO1	73	95	10887	7.8493150684931505	0.97572300023535	0.21031478297486053	0.20829640693863347
GOTERM_BP_FAT	GO:0030182~neuron differentiation	10	10.416666666666668	0.0037621809107135384	SEMA7A, TMEM132E, EPHA8, SEMA3D, SEMA3E, TBR1, RORB, TOX, RUNX2, ROBO1	73	472	10887	3.1596819131646154	0.9803829181473879	0.21031478297486053	0.20829640693863347
GOTERM_BP_FAT	GO:0042330~taxis	5	5.208333333333334	0.00383491446883143	SEMA7A, SEMA3D, SEMA3E, CXCL14, ROBO1	73	97	10887	7.687473520689168	0.9818213042029278	0.21031478297486053	0.20829640693863347
GOTERM_MF_FAT	GO:0000978~RNA polymerase II cis-regulatory region sequence-specific DNA binding	11	11.458333333333332	0.003955119916250276	KLF5, BCL11A, SATB1, SATB2, TBR1, RORB, POU3F2, POU3F3, RUNX2, E2F7, FOXP1	70	551	10113	2.8841845994296085	0.6528890735694493	0.09730313293325778	0.08965007753401277
GOTERM_BP_FAT	GO:0007178~cell surface receptor protein serine/threonine kinase signaling pathway	5	5.208333333333334	0.004125464137549737	ACVR1C, LOC100224677, ACVR2B, ACVR2A, BMP6	73	99	10887	7.53217102532171	0.9865900622996346	0.2149366815663413	0.21287394949756644
GOTERM_MF_FAT	GO:0000987~cis-regulatory region sequence-specific DNA binding	11	11.458333333333332	0.004780573923547426	KLF5, BCL11A, SATB1, SATB2, TBR1, RORB, POU3F2, POU3F3, RUNX2, E2F7, FOXP1	70	566	10113	2.807748611812216	0.7218164107229659	0.09730313293325778	0.08965007753401277
GOTERM_BP_FAT	GO:0031345~negative regulation of cell projection organization	4	4.166666666666666	0.004860357260241077	SEMA7A, BCL11A, SEMA3D, SEMA3E	73	52	10887	11.472075869336141	0.9937907310961606	0.23285213845901992	0.2306174730227529
GOTERM_BP_FAT	GO:0040011~locomotion	5	5.208333333333334	0.004916263959787368	SEMA7A, SEMA3D, SEMA3E, CXCL14, ROBO1	73	104	10887	7.170047418335089	0.9941441214820586	0.23285213845901992	0.2306174730227529
GOTERM_MF_FAT	GO:0034483~heparan sulfate sulfotransferase activity	3	3.125	0.005175921688609021	HS3ST5, HS3ST4, HS3ST2	70	16	10113	27.088392857142857	0.7498163340652728	0.09730313293325778	0.08965007753401277
GOTERM_MF_FAT	GO:0005216~monoatomic ion channel activity	8	8.333333333333332	0.005217247558037137	SLC24A2, GLRA3, GABRA5, KCNK12, KCNQ4, TMC7, CACNG5, CACNA1G	70	312	10113	3.704395604395604	0.7525759500433399	0.09730313293325778	0.08965007753401277
GOTERM_MF_FAT	GO:0003700~DNA-binding transcription factor activity	12	12.5	0.005398327972764317	TFAP2D, KLF5, BCL11A, SATB1, SATB2, TBR1, RORB, POU3F2, POU3F3, RUNX2, E2F7, FOXP1	70	671	10113	2.5836917181179473	0.7643147561371406	0.09730313293325778	0.08965007753401277
GOTERM_BP_FAT	GO:0048699~generation of neurons	10	10.416666666666668	0.005407105723702237	SEMA7A, TMEM132E, EPHA8, SEMA3D, SEMA3E, TBR1, RORB, TOX, RUNX2, ROBO1	73	499	10887	2.9887171603480933	0.9964997239502712	0.24496539843903176	0.2426144829069873
GOTERM_MF_FAT	GO:0000976~transcription cis-regulatory region binding	12	12.5	0.005830899351805709	TFAP2D, KLF5, BCL11A, SATB1, SATB2, TBR1, RORB, POU3F2, POU3F3, RUNX2, E2F7, FOXP1	70	678	10113	2.5570164348925415	0.7901593333817378	0.09730313293325778	0.08965007753401277
GOTERM_MF_FAT	GO:0001067~transcription regulatory region nucleic acid binding	12	12.5	0.005830899351805709	TFAP2D, KLF5, BCL11A, SATB1, SATB2, TBR1, RORB, POU3F2, POU3F3, RUNX2, E2F7, FOXP1	70	678	10113	2.5570164348925415	0.7901593333817378	0.09730313293325778	0.08965007753401277
GOTERM_CC_FAT	GO:0043235~receptor complex	6	6.25	0.006492498703956142	ACVR1C, LOC100224677, GABRA5, ACVR2B, ACVR2A, CACNG5	47	224	8631	4.918882978723404	0.5209950420117737	0.24455078451568132	0.2337299533424211
GOTERM_BP_FAT	GO:0001568~blood vessel development	6	6.25	0.007005272698127414	KLF5, RSPO3, SEMA3E, ACVR2B, E2F7, ROBO1	73	182	10887	4.916603944001204	0.9993458746678175	0.30076137834056677	0.2978749927518857
GOTERM_MF_FAT	GO:0015267~channel activity	8	8.333333333333332	0.007042392074187352	SLC24A2, GLRA3, GABRA5, KCNK12, KCNQ4, TMC7, CACNG5, CACNA1G	70	330	10113	3.5023376623376623	0.8484698864688058	0.10446214910044573	0.09624602501389382
GOTERM_MF_FAT	GO:0022803~passive transmembrane transporter activity	8	8.333333333333332	0.007042392074187352	SLC24A2, GLRA3, GABRA5, KCNK12, KCNQ4, TMC7, CACNG5, CACNA1G	70	330	10113	3.5023376623376623	0.8484698864688058	0.10446214910044573	0.09624602501389382
GOTERM_BP_FAT	GO:0001525~angiogenesis	5	5.208333333333334	0.007434389841037028	KLF5, RSPO3, SEMA3E, E2F7, ROBO1	73	117	10887	6.373375482964524	0.9995832548383498	0.30076137834056677	0.2978749927518857
GOTERM_BP_FAT	GO:0007166~cell surface receptor signaling pathway	13	13.541666666666666	0.0075046025305707635	SEMA7A, LOC100224677, SEMA3D, EPHA8, SEMA3E, ACVR2B, BMP6, ACVR2A, ROBO1, TEC, ACVR1C, ADORA1, RSPO3	73	826	10887	2.347192278350857	0.999612896555749	0.30076137834056677	0.2978749927518857
GOTERM_MF_FAT	GO:1990837~sequence-specific double-stranded DNA binding	12	12.5	0.007844291749284605	TFAP2D, KLF5, BCL11A, SATB1, SATB2, TBR1, RORB, POU3F2, POU3F3, RUNX2, E2F7, FOXP1	70	706	10113	2.4556050182112505	0.8778717740710114	0.11023294195047313	0.1015629352802112
GOTERM_BP_FAT	GO:0048843~negative regulation of axon extension involved in axon guidance	3	3.125	0.00835087856786351	SEMA7A, SEMA3D, SEMA3E	73	21	10887	21.30528375733855	0.9998409891355226	0.3222820543597696	0.31918913637167196
GOTERM_MF_FAT	GO:0030215~semaphorin receptor binding	3	3.125	0.00886107905180319	SEMA7A, SEMA3D, SEMA3E	70	21	10113	20.638775510204084	0.9071205342237817	0.11829540534157257	0.10899127233717923
GOTERM_BP_FAT	GO:0001944~vasculature development	6	6.25	0.00910336030812679	KLF5, RSPO3, SEMA3E, ACVR2B, E2F7, ROBO1	73	194	10887	4.612484112413501	0.9999279597956967	0.3387750514667184	0.33552385135667306
GOTERM_BP_FAT	GO:0006468~protein phosphorylation	9	9.375	0.009560221728379307	DYRK4, RPS6KA3, ACVR1C, TEC, LOC100224677, EPHA8, RIPK4, ACVR2B, ACVR2A	73	451	10887	2.976126112444188	0.9999554670510272	0.34350865658521507	0.34021202840301534
GOTERM_MF_FAT	GO:0000981~DNA-binding transcription factor activity, RNA polymerase II-specific	11	11.458333333333332	0.009842174076546126	TFAP2D, KLF5, SATB1, SATB2, TBR1, RORB, POU3F2, POU3F3, RUNX2, E2F7, FOXP1	70	629	10113	2.5265273677038382	0.9287013504477069	0.12424697758269625	0.11447474339079879
GOTERM_BP_FAT	GO:0048841~regulation of axon extension involved in axon guidance	3	3.125	0.009975534928636952	SEMA7A, SEMA3D, SEMA3E	73	23	10887	19.452650387135197	0.999971245773593	0.3464835798546568	0.3431584015451111
GOTERM_MF_FAT	GO:0019838~growth factor binding	4	4.166666666666666	0.010237578677225908	LOC100224677, EPHA8, ACVR2B, ACVR2A	70	66	10113	8.755844155844155	0.9359135042288448	0.12424697758269625	0.11447474339079879
GOTERM_MF_FAT	GO:0048018~receptor ligand activity	6	6.25	0.01072134286322118	SEMA7A, SEMA3D, STC2, SEMA3E, CXCL14, BMP6	70	196	10113	4.422594752186589	0.9437559244423601	0.12446080628174151	0.1146717541022787
GOTERM_CC_FAT	GO:0005576~extracellular region	11	11.458333333333332	0.01079918939053378	PCSK1, SEMA7A, SCUBE1, FLRT2, SEMA3D, STC2, LGI2, RSPO3, SEMA3E, CXCL14, BMP6	47	832	8631	2.4279101882160394	0.706813219788281	0.3050771002825793	0.29157811354441204
GOTERM_MF_FAT	GO:0030546~signaling receptor activator activity	6	6.25	0.011397219007221121	SEMA7A, SEMA3D, STC2, SEMA3E, CXCL14, BMP6	70	199	10113	4.3559224694903085	0.9531372221909882	0.12679406145533498	0.11682149482401649
GOTERM_BP_FAT	GO:0022008~neurogenesis	10	10.416666666666668	0.012172626029673474	SEMA7A, TMEM132E, EPHA8, SEMA3D, SEMA3E, TBR1, RORB, TOX, RUNX2, ROBO1	73	568	10887	2.6256511672776384	0.9999971663755117	0.3815934475322112	0.3779313223159712
GOTERM_MF_FAT	GO:0003690~double-stranded DNA binding	12	12.5	0.012297725257605977	TFAP2D, KLF5, BCL11A, SATB1, SATB2, TBR1, RORB, POU3F2, POU3F3, RUNX2, E2F7, FOXP1	70	752	10113	2.3053951367781154	0.9632585398113944	0.12773569021127262	0.11768906289128488
GOTERM_MF_FAT	GO:0045499~chemorepellent activity	3	3.125	0.012438681443794336	SEMA7A, SEMA3D, SEMA3E	70	25	10113	17.336571428571432	0.9646322916359861	0.12773569021127262	0.11768906289128488
GOTERM_BP_FAT	GO:0097485~neuron projection guidance	5	5.208333333333334	0.012452145849468637	SEMA7A, EPHA8, SEMA3D, SEMA3E, ROBO1	73	136	10887	5.482977437550362	0.9999978906429898	0.3815934475322112	0.3779313223159712
GOTERM_BP_FAT	GO:0007411~axon guidance	5	5.208333333333334	0.012452145849468637	SEMA7A, EPHA8, SEMA3D, SEMA3E, ROBO1	73	136	10887	5.482977437550362	0.9999978906429898	0.3815934475322112	0.3779313223159712
GOTERM_BP_FAT	GO:0007186~G protein-coupled receptor signaling pathway	8	8.333333333333332	0.01271514801256424	GPR26, HTR1E, GNG4, NPY2R, ADORA1, PLCH2, ADRA1B, LOC115496728	73	381	10887	3.131485276669183	0.9999984022824452	0.3815934475322112	0.3779313223159712
GOTERM_BP_FAT	GO:0016310~phosphorylation	9	9.375	0.013109236609485401	DYRK4, RPS6KA3, ACVR1C, TEC, LOC100224677, EPHA8, RIPK4, ACVR2B, ACVR2A	73	477	10887	2.813905401912639	0.999998946450553	0.3815934475322112	0.3779313223159712
GOTERM_BP_FAT	GO:0032927~positive regulation of activin receptor signaling pathway	2	2.083333333333333	0.01318365077846411	ACVR2B, ACVR2A	73	2	10887	149.13698630136986	0.9999990261354295	0.3815934475322112	0.3779313223159712
GOTERM_CC_FAT	GO:0098802~plasma membrane signaling receptor complex	4	4.166666666666666	0.013544148866711786	ACVR1C, ACVR2B, ACVR2A, CACNG5	47	94	8631	7.814395654142146	0.7858220256071087	0.3060977643876864	0.2925536155209746
GOTERM_BP_FAT	GO:0030517~negative regulation of axon extension	3	3.125	0.01360627389808327	SEMA7A, SEMA3D, SEMA3E	73	27	10887	16.57077625570776	0.9999993770341384	0.3831820919406153	0.379504720616809
GOTERM_MF_FAT	GO:0030545~signaling receptor regulator activity	6	6.25	0.014392329566410005	SEMA7A, SEMA3D, STC2, SEMA3E, CXCL14, BMP6	70	211	10113	4.108192281651998	0.979155669711472	0.14232414793449893	0.13113011382729114
GOTERM_BP_FAT	GO:0048646~anatomical structure formation involved in morphogenesis	7	7.291666666666667	0.015079693936086566	KLF5, RSPO3, SEMA3E, TBR1, ACVR2B, E2F7, ROBO1	73	304	10887	3.434075342465753	0.9999998689797864	0.39917024242110166	0.39533943395256904
GOTERM_BP_FAT	GO:0050770~regulation of axonogenesis	4	4.166666666666666	0.015323233874130582	SEMA7A, SEMA3D, SEMA3E, ROBO1	73	79	10887	7.551239812727587	0.9999998987676373	0.39917024242110166	0.39533943395256904
GOTERM_BP_FAT	GO:0021953~central nervous system neuron differentiation	4	4.166666666666666	0.015323233874130582	SEMA3E, TBR1, TOX, ROBO1	73	79	10887	7.551239812727587	0.9999998987676373	0.39917024242110166	0.39533943395256904
GOTERM_MF_FAT	GO:0004672~protein kinase activity	9	9.375	0.01581672451429867	DYRK4, RPS6KA3, ACVR1C, TEC, LOC100224677, EPHA8, RIPK4, ACVR2B, ACVR2A	70	479	10113	2.7144944825529373	0.9858327082260422	0.15082376590420518	0.1389612225184812
GOTERM_MF_FAT	GO:0043565~sequence-specific DNA binding	12	12.5	0.016540950619845236	TFAP2D, KLF5, BCL11A, SATB1, SATB2, TBR1, RORB, POU3F2, POU3F3, RUNX2, E2F7, FOXP1	70	785	10113	2.208480436760692	0.9883606964324751	0.15229082122409238	0.14031289146489406
GOTERM_BP_FAT	GO:0035239~tube morphogenesis	6	6.25	0.016741545842109677	KLF5, RSPO3, SEMA3E, ACVR2B, E2F7, ROBO1	73	226	10887	3.959389016850527	0.999999977488738	0.41582974890089275	0.4118390603317863
GOTERM_BP_FAT	GO:0050877~nervous system process	7	7.291666666666667	0.0169360333692678	SLC24A2, GLRA3, GABRA5, TBR1, PPEF1, CACNG5, CACNA1G	73	312	10887	3.346022128556375	0.9999999816855389	0.41582974890089275	0.4118390603317863
GOTERM_BP_FAT	GO:0006357~regulation of transcription by RNA polymerase II	15	15.625	0.017643553732227337	TFAP2D, BCL11A, SATB1, SATB2, TBR1, RORB, ACVR2B, POU3F2, POU3F3, ACVR2A, RUNX2, FOXP1, KLF5, TOX, E2F7	73	1154	10887	1.9385223522708386	0.9999999913568783	0.41582974890089275	0.4118390603317863
GOTERM_BP_FAT	GO:0050771~negative regulation of axonogenesis	3	3.125	0.01772213163371125	SEMA7A, SEMA3D, SEMA3E	73	31	10887	14.43261157755192	0.9999999920487292	0.41582974890089275	0.4118390603317863
GOTERM_CC_FAT	GO:0098794~postsynapse	6	6.25	0.018153221838501616	GLRA3, GABRA5, UTRN, SRCIN1, ZDHHC2, CACNG5	47	289	8631	3.8125598174188315	0.873834594409742	0.3418856779584471	0.3267579930930291
GOTERM_BP_FAT	GO:0048514~blood vessel morphogenesis	5	5.208333333333334	0.01844262514693843	KLF5, RSPO3, SEMA3E, E2F7, ROBO1	73	153	10887	4.873757722266989	0.9999999963011635	0.41582974890089275	0.4118390603317863
GOTERM_BP_FAT	GO:0010647~positive regulation of cell communication	10	10.416666666666668	0.018452748368231343	SLC24A2, SEMA7A, EPHA8, RSPO3, SEMA3E, ADRA1B, ACVR2B, ACVR2A, CACNG5, ROBO1	73	609	10887	2.448883190498684	0.9999999963407386	0.41582974890089275	0.4118390603317863
GOTERM_BP_FAT	GO:0023056~positive regulation of signaling	10	10.416666666666668	0.018810321991669113	SLC24A2, SEMA7A, EPHA8, RSPO3, SEMA3E, ADRA1B, ACVR2B, ACVR2A, CACNG5, ROBO1	73	611	10887	2.4408672062417325	0.999999997497647	0.41582974890089275	0.4118390603317863
GOTERM_BP_FAT	GO:0032101~regulation of response to external stimulus	7	7.291666666666667	0.01920745362622346	LOC115490562, SEMA7A, SEMA3D, SEMA3E, TBR1, CXCL14, ROBO1	73	321	10887	3.2522084240174114	0.9999999983595067	0.41582974890089275	0.4118390603317863
GOTERM_BP_FAT	GO:0007420~brain development	6	6.25	0.019804772787877838	SEMA3E, TBR1, TOX, POU3F2, POU3F3, ROBO1	73	236	10887	3.7916182957975386	0.9999999991309904	0.41582974890089275	0.4118390603317863
GOTERM_BP_FAT	GO:0071526~semaphorin-plexin signaling pathway	3	3.125	0.01995344284553228	SEMA7A, SEMA3D, SEMA3E	73	33	10887	13.557907845579077	0.9999999992581505	0.41582974890089275	0.4118390603317863
GOTERM_MF_FAT	GO:0022836~gated channel activity	6	6.25	0.0204902944756586	GLRA3, GABRA5, KCNQ4, TMC7, CACNG5, CACNA1G	70	231	10113	3.752504638218924	0.9960250237655424	0.18236362083336152	0.1680204147004005
GOTERM_BP_FAT	GO:0072359~circulatory system development	7	7.291666666666667	0.021112857547755725	LOC100224677, KLF5, RSPO3, SEMA3E, ACVR2B, E2F7, ROBO1	73	328	10887	3.1828015369194786	0.9999999997841624	0.43136465813257774	0.4272248821428217
GOTERM_BP_FAT	GO:0141091~transforming growth factor beta receptor superfamily signaling pathway	4	4.166666666666666	0.022259106937246646	ACVR1C, LOC100224677, ACVR2B, ACVR2A	73	91	10887	6.555471925334938	0.9999999999364081	0.44603825824251936	0.4417576607545873
GOTERM_BP_FAT	GO:0060322~head development	6	6.25	0.023942182204036964	SEMA3E, TBR1, TOX, POU3F2, POU3F3, ROBO1	73	248	10887	3.60815289438798	0.9999999999894563	0.4707123369171041	0.4661949440484179
GOTERM_CC_FAT	GO:0045202~synapse	9	9.375	0.024276941017909472	PLCXD3, GLRA3, SV2B, GABRA5, ADORA1, UTRN, SRCIN1, ZDHHC2, CACNG5	47	673	8631	2.455787044355221	0.937783975144918	0.3485025275848834	0.33308206176254346
GOTERM_CC_FAT	GO:0034702~monoatomic ion channel complex	5	5.208333333333334	0.024672745315743958	GLRA3, GABRA5, KCNK12, CACNG5, CACNA1G	47	209	8631	4.393260714649292	0.9405720537221177	0.3485025275848834	0.33308206176254346
