Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_FAT	GO:0005576~extracellular region	58	11.860940695296524	1.731366383655534E-10	PCSK1, MSTN, TNC, SSC4D, CPZ, CXCL14, GLIPR2, LIPG, CCN5, SOSTDC1, RSPO3, MAN1A1, LOC100226213, FGFBP2, LOC100225878, IGFBP4, FST, FIBCD1, CARTPT, PDYN, C1QL3, DKK2, GREM1, UTS2B, FNDC4, COL8A2, DIPK2A, C1QB, SEMA7A, SEMA3D, FGL2, DPT, THBS2, PTHLH, ADAMTS10, FSTL4, MUC2, FLRT2, PENK, LOC100223082, OTOG, GPC3, CCL19, TAC1, WNT4, WNT10A, LAMB2, IL34, LGI2, CCK, SULF1, BMP6, COLQ, KITLG, TAFA3, LEP, FGF18, SDC1	247	832	8631	2.4359525848645283	5.194098351424259E-8	5.194099150966602E-8	4.813198546562384E-8
GOTERM_MF_FAT	GO:0038023~signaling receptor activity	51	10.429447852760736	9.865269491518236E-10	RET, EPHB6, NRP1, GPR26, LOC100224677, NPY2R, LOC100230156, RORA, TREM2, RORB, HTR2A, GRM1, ROBO1, HNF4A, GPER1, ADORA1, IL13RA2, EPHB1, CHRNB4, IL11RA, UNC5D, TGFBR1, GABRG1, TNFRSF1A, AR, NR5A2, ADORA2A, LOC100221315, PPARG, LOC100222682, RAMP3, PTGER2, NPR2, TNFRSF11A, FSTL4, GLRA3, P2RY12, LOC115490562, LOC100225774, HTR1E, GABRA5, HTR1D, ESRRB, GPR52, HTR1A, NMBR, ACVR2B, LOC100232344, ACVR2A, GRIN3B, LOC100227477	326	618	10113	2.5600244207516827	7.250970612826535E-7	3.625486538132952E-7	3.462709591522901E-7
GOTERM_MF_FAT	GO:0060089~molecular transducer activity	51	10.429447852760736	9.865269491518236E-10	RET, EPHB6, NRP1, GPR26, LOC100224677, NPY2R, LOC100230156, RORA, TREM2, RORB, HTR2A, GRM1, ROBO1, HNF4A, GPER1, ADORA1, IL13RA2, EPHB1, CHRNB4, IL11RA, UNC5D, TGFBR1, GABRG1, TNFRSF1A, AR, NR5A2, ADORA2A, LOC100221315, PPARG, LOC100222682, RAMP3, PTGER2, NPR2, TNFRSF11A, FSTL4, GLRA3, P2RY12, LOC115490562, LOC100225774, HTR1E, GABRA5, HTR1D, ESRRB, GPR52, HTR1A, NMBR, ACVR2B, LOC100232344, ACVR2A, GRIN3B, LOC100227477	326	618	10113	2.5600244207516827	7.250970612826535E-7	3.625486538132952E-7	3.462709591522901E-7
GOTERM_CC_FAT	GO:0030054~cell junction	61	12.474437627811861	6.761982337428498E-9	NRP1, PTPRU, CLSTN2, ITGB2, LOC100230156, HTR2A, DOC2B, AQP3, ZDHHC2, GRM1, INSYN2B, RPH3A, CALB1, POF1B, ADORA1, TNR, NOS1, EPHB1, LZTS1, KIRREL3, CHRNB4, PRKCH, SLC6A17, SLC30A3, PRKCA, CARTPT, PDYN, C1QL3, TGFBR1, GABRG1, UTRN, SPTBN5, NPR2, KCNA2, THSD1, CYP19A1, PDLIM1, PAK1, SV2C, GLRA3, SV2B, FLRT2, CDH22, PENK, NPTX2, CACNG5, LOC105759083, JAG1, CNTN5, LAMB2, GABRA5, PDE2A, HTR1D, HTR1A, ATP2B2, LOC100219012, FERMT1, GRIN3B, PLCXD3, NECTIN3, NECTIN1	247	991	8631	2.1509006156624193	2.0285926415342104E-6	1.0142973506142747E-6	9.399155449025612E-7
GOTERM_BP_FAT	GO:0007154~cell communication	116	23.721881390593047	1.3649247757813044E-8	EPHB6, LOC100224677, DGKB, IRS1, NPY2R, TNC, LOC100230156, RPH3A, RPS6KA3, RASSF1, ARHGDIB, CCN5, ADORA1, TNR, IL13RA2, EPHB1, RGS6, MAP3K5, CHRNB4, IL11RA, FST, HPCAL1, PRKCA, CARTPT, UNC5D, PDYN, GABRG1, AR, UTRN, PLPP2, SEMA7A, NPR2, LOC100223649, CACNA1G, INPP5F, PENK, PLCG2, TAC1, WNT4, LYN, WNT10A, FYB1, JAG1, HTR1E, PDE2A, HTR1D, HTR1A, NMBR, LOC100232344, BMP6, NFKB2, EFNA1, FERMT1, LACC1, GRIN3B, PPP1R1C, PPP1R1B, FGF18, LOC100221337, PLCH2, RET, NRP1, GPR26, MSTN, ITGB2, DIRAS2, HTR2A, LSP1, DOC2B, GRM1, ROBO1, INSYN2B, CSRP3, GPER1, RSPO3, EDARADD, FGFBP2, KSR1, SYK, PDE4D, TGFBR1, TNFRSF1A, ITPKB, NR5A2, ADORA2A, BANK1, ITGA7, PPARG, DOCK2, RAPGEF3, LOC100222682, NIM1K, RAMP3, SEMA3D, PTGER2, BARX1, PTHLH, PAK1, SV2C, GLRA3, SV2B, GPNMB, GPC3, STAT4, CCL19, CACNG5, P2RY12, GABRA5, GPR52, SULF1, ACVR2B, ACVR2A, KITLG, KLF5, LEP, TBKBP1	344	2256	10887	1.62730393369619	4.008703735591812E-5	3.1778702140339285E-5	3.1140097431115845E-5
GOTERM_BP_FAT	GO:0003008~system process	41	8.384458077709612	2.16476172618115E-8	SLC24A2, NPR2, LOC100230156, AQP3, CYP19A1, GRM1, INSYN2B, AQP1, CACNA1G, CSRP3, SGCD, GLRA3, INPP5F, PENK, OTOG, TNR, NOS1, NPTX2, EPHB1, SCN1B, CACNG5, CHRNB4, TCF15, CNTN5, LAMB2, GABRA5, CACNA2D1, HTR1D, HPCAL1, HTR1A, TBR1, ATP2B2, SULF1, PDYN, FOXP2, GABRG1, UTS2B, AR, LOC100221337, PPEF1, LOC100222682	344	486	10887	2.6699145851277635	6.357703145898341E-5	3.1778702140339285E-5	3.1140097431115845E-5
GOTERM_BP_FAT	GO:0023052~signaling	113	23.108384458077712	4.262918446147325E-8	EPHB6, LOC100224677, DGKB, IRS1, NPY2R, TNC, LOC100230156, RPH3A, RPS6KA3, RASSF1, ARHGDIB, CCN5, ADORA1, TNR, IL13RA2, EPHB1, RGS6, MAP3K5, CHRNB4, IL11RA, FST, HPCAL1, PRKCA, CARTPT, UNC5D, PDYN, GABRG1, AR, UTRN, PLPP2, SEMA7A, NPR2, LOC100223649, INPP5F, PENK, PLCG2, TAC1, WNT4, LYN, WNT10A, FYB1, JAG1, HTR1E, PDE2A, HTR1D, HTR1A, NMBR, LOC100232344, BMP6, NFKB2, EFNA1, FERMT1, LACC1, GRIN3B, PPP1R1C, PPP1R1B, FGF18, PLCH2, RET, NRP1, GPR26, MSTN, ITGB2, DIRAS2, HTR2A, LSP1, DOC2B, GRM1, ROBO1, INSYN2B, CSRP3, GPER1, RSPO3, EDARADD, FGFBP2, KSR1, SYK, PDE4D, TGFBR1, TNFRSF1A, ITPKB, NR5A2, ADORA2A, BANK1, ITGA7, PPARG, DOCK2, RAPGEF3, LOC100222682, NIM1K, RAMP3, SEMA3D, PTGER2, BARX1, PTHLH, PAK1, SV2C, GLRA3, SV2B, GPNMB, GPC3, STAT4, CCL19, P2RY12, GABRA5, GPR52, SULF1, ACVR2B, ACVR2A, KITLG, KLF5, LEP, TBKBP1	344	2220	10887	1.6109247328724072	1.2519408015820854E-4	4.171976185962848E-5	4.088138789855284E-5
GOTERM_CC_FAT	GO:0005615~extracellular space	40	8.1799591002045	3.314957537406405E-7	PCSK1, SEMA7A, MSTN, SEMA3D, FGL2, TNC, DPT, SSC4D, CPZ, CXCL14, FSTL4, MUC2, FLRT2, GLIPR2, LOC100223082, OTOG, SOSTDC1, MAN1A1, CCL19, WNT4, WNT10A, LOC100225878, IGFBP4, IL34, FST, FIBCD1, LGI2, CCK, CARTPT, SULF1, BMP6, DKK2, COLQ, GREM1, KITLG, FNDC4, TAFA3, LEP, FGF18, DIPK2A	247	578	8631	2.418222826163092	9.944379774196044E-5	2.9334615328720256E-5	2.7183410204614105E-5
GOTERM_CC_FAT	GO:0043005~neuron projection	41	8.384458077709612	3.9112820438293675E-7	EPHB6, RET, NRP1, NPR2, KCNA2, LOC100230156, HTR2A, CYP19A1, FSTL4, GRM1, ROBO1, CACNA1G, RPH3A, GLRA3, CALB1, INPP5F, PENK, DPYSL3, ADORA1, NOS1, EMB, EPHB1, VSTM5, BRINP3, LOC115491734, LZTS1, SCN1B, SLC12A2, CHRNB4, HTR1E, SLC30A3, CNTN5, GABRA5, HTR1D, PRKCA, CCK, PDYN, LOC100232344, GABRG1, LOC100221337, CNGB1	247	605	8631	2.368059691504668	1.1733160037052937E-4	2.9334615328720256E-5	2.7183410204614105E-5
GOTERM_BP_FAT	GO:0007165~signal transduction	103	21.063394683026583	6.162903704720006E-7	EPHB6, LOC100224677, DGKB, IRS1, NPY2R, LOC100230156, RPS6KA3, RASSF1, ARHGDIB, CCN5, ADORA1, IL13RA2, EPHB1, RGS6, MAP3K5, CHRNB4, IL11RA, FST, HPCAL1, PRKCA, CARTPT, UNC5D, PDYN, GABRG1, AR, PLPP2, SEMA7A, NPR2, LOC100223649, INPP5F, PENK, PLCG2, TAC1, WNT4, LYN, WNT10A, FYB1, JAG1, HTR1E, PDE2A, HTR1D, HTR1A, NMBR, LOC100232344, BMP6, NFKB2, EFNA1, FERMT1, LACC1, GRIN3B, PPP1R1C, PPP1R1B, FGF18, PLCH2, RET, NRP1, GPR26, MSTN, ITGB2, DIRAS2, HTR2A, LSP1, GRM1, ROBO1, INSYN2B, CSRP3, GPER1, RSPO3, EDARADD, KSR1, SYK, PDE4D, TGFBR1, TNFRSF1A, ITPKB, NR5A2, ADORA2A, BANK1, ITGA7, PPARG, DOCK2, RAPGEF3, LOC100222682, NIM1K, RAMP3, SEMA3D, PTGER2, BARX1, PTHLH, PAK1, GLRA3, GPC3, STAT4, CCL19, P2RY12, GABRA5, GPR52, SULF1, ACVR2B, ACVR2A, KITLG, LEP, TBKBP1	344	2061	10887	1.581645001861819	0.0018084082317431083	4.523571319264484E-4	4.432668489619864E-4
