Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_FAT	GO:0003008~system process	26	10.4	9.251461605430297E-8	NPR2, LOC100230156, AQP3, CYP19A1, GRM1, INSYN2B, AQP1, CSRP3, SGCD, PENK, TNR, NOS1, NPTX2, EPHB1, TCF15, CNTN5, LAMB2, CACNA2D1, HPCAL1, HTR1A, PDYN, FOXP2, GABRG1, UTS2B, AR, LOC100221337	168	486	10887	3.46685773074662	1.8917450287991855E-4	1.8909987521499526E-4	1.8687952442969199E-4
GOTERM_CC_FAT	GO:0030054~cell junction	36	14.399999999999999	1.9762336773952147E-7	NRP1, SPTBN5, NPR2, ITGB2, LOC100230156, DOC2B, AQP3, CYP19A1, GRM1, INSYN2B, PDLIM1, SV2C, CALB1, POF1B, CDH22, PENK, TNR, NOS1, NPTX2, EPHB1, LZTS1, KIRREL3, JAG1, PRKCH, SLC30A3, CNTN5, LAMB2, PDE2A, HTR1A, CARTPT, PDYN, C1QL3, TGFBR1, GABRG1, FERMT1, NECTIN3	124	991	8631	2.528530972299079	4.64404176280242E-5	4.6441491418787544E-5	4.367476427043425E-5
GOTERM_MF_FAT	GO:0005102~signaling receptor binding	27	10.8	7.336660203784862E-7	IRS1, NXPH4, ITGB2, TNC, PTHLH, GPNMB, PENK, CCN5, LYN, WNT10A, JAG1, LAMB2, IL34, FST, CCK, CARTPT, PDYN, TGFBR1, EFNA1, GREM1, UTS2B, FERMT1, AR, BANK1, TAFA3, ASXL3, FGF18	154	591	10113	3.000098885885688	3.5723166056333966E-4	3.572953519243228E-4	3.550943538631873E-4
GOTERM_CC_FAT	GO:0005576~extracellular region	30	12.0	3.884851463373113E-6	C1QB, FGL2, TNC, SSC4D, THBS2, PTHLH, MUC2, GLIPR2, PENK, CCN5, LOC100223082, GPC3, SOSTDC1, MAN1A1, LOC100226213, WNT10A, LAMB2, IL34, FST, FIBCD1, CCK, CARTPT, PDYN, C1QL3, GREM1, UTS2B, TAFA3, FGF18, COL8A2, SDC1	124	832	8631	2.5097898573200994	9.125252625858948E-4	4.5647004694634075E-4	4.2927608670272895E-4
GOTERM_BP_FAT	GO:0065008~regulation of biological quality	35	14.000000000000002	5.0620321169292373E-5	RET, SPTBN5, ATP8A1, IRS1, NPR2, AKR1D1, LOC100223649, LOC100230156, AQP3, CYP19A1, GRM1, INSYN2B, AQP1, CSRP3, CALB1, TNR, NOS1, EPHB1, VSTM5, LZTS1, P2RY12, TASL, KCNH4, TRPC5, CACNA2D1, HPCAL1, HTR1A, CARTPT, BAIAP2, C1QL3, GABRG1, UTS2B, AR, ALDH1A2, LOC100221337	168	1100	10887	2.0619318181818183	0.09834307180488322	0.0517339682350168	0.0511265243809853
GOTERM_MF_FAT	GO:0038023~signaling receptor activity	24	9.6	5.178117130331141E-5	EPHB6, P2RY12, RET, NRP1, LOC100225774, NPR2, HTR1A, GPR52, LOC100230156, TREM2, TNFRSF11A, NMBR, UNC5D, TGFBR1, GRM1, TNFRSF1A, GABRG1, AR, NR5A2, ADORA2A, HNF4A, IL13RA2, LOC100227477, EPHB1	154	618	10113	2.55024587063422	0.024902763624738866	0.008405810141570887	0.008354028970267574
GOTERM_MF_FAT	GO:0060089~molecular transducer activity	24	9.6	5.178117130331141E-5	EPHB6, P2RY12, RET, NRP1, LOC100225774, NPR2, HTR1A, GPR52, LOC100230156, TREM2, TNFRSF11A, NMBR, UNC5D, TGFBR1, GRM1, TNFRSF1A, GABRG1, AR, NR5A2, ADORA2A, HNF4A, IL13RA2, LOC100227477, EPHB1	154	618	10113	2.55024587063422	0.024902763624738866	0.008405810141570887	0.008354028970267574
GOTERM_BP_FAT	GO:0050877~nervous system process	16	6.4	8.898176272592472E-5	TCF15, CNTN5, LAMB2, NPR2, LOC100230156, PDYN, CYP19A1, FOXP2, GRM1, INSYN2B, GABRG1, PENK, LOC100221337, TNR, NPTX2, EPHB1	168	312	10887	3.323260073260073	0.16637848715328052	0.06062624100393004	0.05991438690212265
GOTERM_CC_FAT	GO:0043005~neuron projection	22	8.799999999999999	1.1382708638206381E-4	EPHB6, RET, NRP1, SLC30A3, CNTN5, NPR2, LOC100230156, CCK, PDYN, CYP19A1, GRM1, GABRG1, CALB1, PENK, DPYSL3, LOC100221337, NOS1, EPHB1, BRINP3, VSTM5, LZTS1, CNGB1	124	605	8631	2.53108504398827	0.026396252127047104	0.008916455099928331	0.008385262030145368
GOTERM_BP_FAT	GO:0009887~animal organ morphogenesis	15	6.0	1.2269046108525283E-4	JAG1, TCF15, LAMB2, NPR2, TNC, PBX3, BARX2, TGFBR1, GREM1, AR, NR5A2, ASXL3, FGF18, GPC3, EPHB1	168	285	10887	3.4107142857142856	0.2219133501049131	0.0626948256145642	0.06195868284805268
GOTERM_CC_FAT	GO:0045202~synapse	23	9.2	1.832556579459307E-4	SLC30A3, CNTN5, LAMB2, NPR2, PDE2A, HTR1A, LOC100230156, CARTPT, DOC2B, PDYN, CYP19A1, C1QL3, GRM1, INSYN2B, GABRG1, SV2C, CALB1, PENK, TNR, NOS1, NPTX2, EPHB1, LZTS1	124	673	8631	2.3787686334659446	0.04215472849930868	0.010766269904323429	0.010124875101512672
GOTERM_BP_FAT	GO:0007166~cell surface receptor signaling pathway	27	10.8	3.3660300171409684E-4	EPHB6, RET, NRP1, IRS1, NPR2, ITGB2, LOC100223649, BARX1, GRM1, INSYN2B, CSRP3, GPC3, STAT4, IL13RA2, EPHB1, LYN, WNT10A, JAG1, FYB1, FST, UNC5D, TGFBR1, EFNA1, FERMT1, AR, ADORA2A, FGF18	168	826	10887	2.118276547907299	0.49765543755849095	0.12238217746632012	0.12094520473677428
GOTERM_BP_FAT	GO:0008015~blood circulation	9	3.5999999999999996	3.5924318238645823E-4	UTS2B, AR, CSRP3, SGCD, NPR2, CACNA2D1, HTR1A, HPCAL1, NOS1	168	114	10887	5.116071428571428	0.5203911000666662	0.12238217746632012	0.12094520473677428
GOTERM_BP_FAT	GO:0007154~cell communication	54	21.6	5.085473854885618E-4	RET, EPHB6, NRP1, DGKB, IRS1, ITGB2, TNC, LOC100230156, LSP1, DOC2B, GRM1, INSYN2B, CSRP3, ARHGDIB, CCN5, TNR, IL13RA2, EPHB1, FST, HPCAL1, CARTPT, UNC5D, PDYN, TGFBR1, GABRG1, TNFRSF1A, AR, NR5A2, ADORA2A, BANK1, DOCK2, NPR2, LOC100223649, BARX1, PTHLH, SV2C, GPNMB, PENK, GPC3, STAT4, LYN, P2RY12, WNT10A, JAG1, FYB1, PDE2A, GPR52, HTR1A, NMBR, EFNA1, FERMT1, PPP1R1B, FGF18, LOC100221337	168	2256	10887	1.5511493161094227	0.6466315265803839	0.14398147241247938	0.14229088760920172
GOTERM_CC_FAT	GO:0030425~dendrite	12	4.8	5.453305687833029E-4	EPHB6, CALB1, PENK, NOS1, PDYN, EPHB1, BRINP3, VSTM5, CYP19A1, LZTS1, GRM1, GABRG1	124	237	8631	3.5242956308697426	0.12031170031685778	0.021061636334909078	0.019806900553254923
GOTERM_CC_FAT	GO:0097447~dendritic tree	12	4.8	5.453305687833029E-4	EPHB6, CALB1, PENK, NOS1, PDYN, EPHB1, BRINP3, VSTM5, CYP19A1, LZTS1, GRM1, GABRG1	124	237	8631	3.5242956308697426	0.12031170031685778	0.021061636334909078	0.019806900553254923
GOTERM_CC_FAT	GO:0030424~axon	12	4.8	6.27367890827079E-4	RET, NRP1, CALB1, CNTN5, DPYSL3, PENK, LOC100221337, CCK, PDYN, EPHB1, VSTM5, CYP19A1	124	241	8631	3.465801097577299	0.13711833738659873	0.021061636334909078	0.019806900553254923
GOTERM_BP_FAT	GO:0003013~circulatory system process	9	3.5999999999999996	6.315205954218869E-4	UTS2B, AR, CSRP3, SGCD, NPR2, CACNA2D1, HTR1A, HPCAL1, NOS1	168	124	10887	4.703485023041474	0.7252428276620511	0.14398147241247938	0.14229088760920172
GOTERM_BP_FAT	GO:0023052~signaling	53	21.2	6.339693012291166E-4	RET, EPHB6, NRP1, DGKB, IRS1, ITGB2, TNC, LOC100230156, LSP1, DOC2B, GRM1, INSYN2B, CSRP3, ARHGDIB, CCN5, TNR, IL13RA2, EPHB1, FST, HPCAL1, CARTPT, UNC5D, PDYN, TGFBR1, GABRG1, TNFRSF1A, AR, NR5A2, ADORA2A, BANK1, DOCK2, NPR2, LOC100223649, BARX1, PTHLH, SV2C, GPNMB, PENK, GPC3, STAT4, LYN, P2RY12, WNT10A, JAG1, FYB1, PDE2A, GPR52, HTR1A, NMBR, EFNA1, FERMT1, PPP1R1B, FGF18	168	2220	10887	1.5471122908622907	0.7266161302072214	0.14398147241247938	0.14229088760920172
GOTERM_BP_FAT	GO:0009888~tissue development	20	8.0	9.435704916078391E-4	RET, NRP1, JAG1, TCF15, LAMB2, NPR2, TNC, BARX1, BARX2, CYP19A1, TGFBR1, PTHLH, AR, CSRP3, SGCD, NR5A2, POF1B, FGF18, GPC3, SOX8	168	560	10887	2.3144132653061225	0.8549261833845943	0.18294476851961322	0.1807966890458017
GOTERM_BP_FAT	GO:0010647~positive regulation of cell communication	21	8.4	0.001031888622575312	RET, TASL, JAG1, PRKCH, LOC115498119, IRS1, LOC100223649, CARTPT, CYP19A1, TGFBR1, GRM1, ELAPOR2, FERMT1, AR, GPNMB, BANK1, GLIPR2, LOC105759117, FGF18, GPC3, TNR	168	609	10887	2.2346059113300494	0.8789197505623328	0.18294476851961322	0.1807966890458017
GOTERM_BP_FAT	GO:0023056~positive regulation of signaling	21	8.4	0.0010740397369057527	RET, TASL, JAG1, PRKCH, LOC115498119, IRS1, LOC100223649, CARTPT, CYP19A1, TGFBR1, GRM1, ELAPOR2, FERMT1, AR, GPNMB, BANK1, GLIPR2, LOC105759117, FGF18, GPC3, TNR	168	611	10887	2.227291325695581	0.888929664335085	0.18294476851961322	0.1807966890458017
GOTERM_MF_FAT	GO:0030545~signaling receptor regulator activity	11	4.3999999999999995	0.0013556525630515348	GREM1, UTS2B, WNT10A, GPNMB, TAFA3, FST, IL34, FGF18, CCK, CARTPT, PTHLH	154	211	10113	3.4234935680433307	0.4834848743043104	0.16505069955152435	0.1640339601292357
GOTERM_BP_FAT	GO:0031103~axon regeneration	3	1.2	0.0013752520511696273	LAMB2, TNC, TNR	168	4	10887	48.60267857142857	0.9400548974073859	0.2162319378915937	0.21369301102789595
GOTERM_BP_FAT	GO:0009967~positive regulation of signal transduction	19	7.6	0.001812206620920026	RET, TASL, JAG1, PRKCH, LOC115498119, IRS1, LOC100223649, CARTPT, TGFBR1, GRM1, ELAPOR2, FERMT1, AR, GPNMB, BANK1, GLIPR2, LOC105759117, FGF18, GPC3	168	547	10887	2.250946722381823	0.9755059387099237	0.24595895667288917	0.2430709845788826
GOTERM_BP_FAT	GO:0007267~cell-cell signaling	13	5.2	0.0018978487016309434	NPR2, TNC, LOC100230156, CARTPT, DOC2B, PDYN, BARX1, INSYN2B, GABRG1, SV2C, GPNMB, PENK, TNR	168	294	10887	2.865464042759961	0.9794478173505525	0.24595895667288917	0.2430709845788826
GOTERM_BP_FAT	GO:0051240~positive regulation of multicellular organismal process	17	6.800000000000001	0.0020846280978551813	RET, PRKCH, LOC115498119, IL34, FST, LOC100223649, TNFRSF11A, NMBR, CYP19A1, TGFBR1, FERMT1, GLIPR2, LOC105759117, FGF18, TNR, EPHB1, VSTM5	168	465	10887	2.369162826420891	0.9859834162532819	0.24595895667288917	0.2430709845788826
GOTERM_BP_FAT	GO:0031102~neuron projection regeneration	3	1.2	0.002268979735491901	LAMB2, TNC, TNR	168	5	10887	38.88214285714285	0.9903936951465937	0.24595895667288917	0.2430709845788826
GOTERM_BP_FAT	GO:0007165~signal transduction	48	19.2	0.002278725334936617	EPHB6, RET, NRP1, DGKB, IRS1, NPR2, ITGB2, LOC100223649, LOC100230156, LSP1, BARX1, PTHLH, GRM1, INSYN2B, CSRP3, PENK, ARHGDIB, CCN5, GPC3, STAT4, IL13RA2, EPHB1, P2RY12, LYN, WNT10A, JAG1, FYB1, FST, PDE2A, GPR52, HPCAL1, HTR1A, NMBR, CARTPT, UNC5D, PDYN, TGFBR1, GABRG1, TNFRSF1A, EFNA1, FERMT1, AR, NR5A2, ADORA2A, BANK1, PPP1R1B, FGF18, DOCK2	168	2061	10887	1.5092534830526096	0.9905836789366995	0.24595895667288917	0.2430709845788826
GOTERM_BP_FAT	GO:0007169~cell surface receptor protein tyrosine kinase signaling pathway	11	4.3999999999999995	0.0022863112410885	LYN, EFNA1, RET, EPHB6, AR, NRP1, CSRP3, IRS1, NPR2, FGF18, EPHB1	168	223	10887	3.1965887251761695	0.9907289578151525	0.24595895667288917	0.2430709845788826
