Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_FAT	GO:0007154~cell communication	62	25.94142259414226	8.835896759182456E-6	GPR26, LOC100224677, MSTN, DIRAS2, NPY2R, HTR2A, ROBO1, RPH3A, RPS6KA3, RASSF1, GPER1, ADORA1, RSPO3, RGS6, MAP3K5, EDARADD, CHRNB4, FGFBP2, KSR1, SYK, IL11RA, PDE4D, PRKCA, ITPKB, ITGA7, PPARG, UTRN, PLPP2, RAPGEF3, LOC100222682, NIM1K, SEMA7A, RAMP3, SEMA3D, PTGER2, CACNA1G, PAK1, GLRA3, INPP5F, SV2B, PLCG2, CCL19, TAC1, CACNG5, WNT4, HTR1E, GABRA5, HTR1D, SULF1, ACVR2B, LOC100232344, BMP6, ACVR2A, NFKB2, LACC1, GRIN3B, KITLG, KLF5, PPP1R1C, LEP, TBKBP1, PLCH2	176	2256	10887	1.6999969777562864	0.016960888469142232	0.016324155733668477	0.016214484403158043
GOTERM_MF_FAT	GO:0038023~signaling receptor activity	27	11.297071129707113	1.3882725707914013E-5	LOC100224677, GPR26, RAMP3, PTGER2, NPY2R, RORA, HTR2A, RORB, FSTL4, ROBO1, GLRA3, GPER1, ADORA1, LOC115490562, CHRNB4, HTR1E, IL11RA, GABRA5, HTR1D, ESRRB, ACVR2B, LOC100232344, ACVR2A, GRIN3B, LOC100221315, PPARG, LOC100222682	172	618	10113	2.5687796342289455	0.007454914342918673	0.0037413945782828265	0.0036164500469116003
GOTERM_MF_FAT	GO:0060089~molecular transducer activity	27	11.297071129707113	1.3882725707914013E-5	LOC100224677, GPR26, RAMP3, PTGER2, NPY2R, RORA, HTR2A, RORB, FSTL4, ROBO1, GLRA3, GPER1, ADORA1, LOC115490562, CHRNB4, HTR1E, IL11RA, GABRA5, HTR1D, ESRRB, ACVR2B, LOC100232344, ACVR2A, GRIN3B, LOC100221315, PPARG, LOC100222682	172	618	10113	2.5687796342289455	0.007454914342918673	0.0037413945782828265	0.0036164500469116003
GOTERM_CC_FAT	GO:0005615~extracellular space	23	9.623430962343097	1.6412248429891907E-5	PCSK1, SEMA7A, MSTN, LOC100225878, SEMA3D, IGFBP4, LGI2, DPT, CPZ, SULF1, CXCL14, DKK2, BMP6, FSTL4, COLQ, KITLG, FNDC4, FLRT2, LEP, OTOG, CCL19, DIPK2A, WNT4	123	578	8631	2.7922609502911633	0.003587860094815598	0.0031147501182602795	0.003000969292022461
GOTERM_BP_FAT	GO:0023052~signaling	60	25.10460251046025	2.3248860457083564E-5	GPR26, LOC100224677, MSTN, DIRAS2, NPY2R, HTR2A, ROBO1, RPH3A, RPS6KA3, RASSF1, GPER1, ADORA1, RSPO3, RGS6, MAP3K5, EDARADD, CHRNB4, FGFBP2, KSR1, SYK, IL11RA, PDE4D, PRKCA, ITPKB, ITGA7, PPARG, UTRN, PLPP2, RAPGEF3, LOC100222682, NIM1K, SEMA7A, RAMP3, SEMA3D, PTGER2, PAK1, GLRA3, INPP5F, SV2B, PLCG2, CCL19, TAC1, WNT4, HTR1E, GABRA5, HTR1D, SULF1, ACVR2B, LOC100232344, BMP6, ACVR2A, NFKB2, LACC1, GRIN3B, KITLG, KLF5, PPP1R1C, LEP, TBKBP1, PLCH2	176	2220	10887	1.6718366093366093	0.04401238120543638	0.016324155733668477	0.016214484403158043
GOTERM_BP_FAT	GO:0030001~metal ion transport	18	7.531380753138076	2.5308768579330973E-5	SLC24A2, SLC12A2, STEAP3, RAMP3, KCNH5, KCNG4, SLC6A17, KCNH7, KCNK12, KCNA2, ATP2B2, CACNA1G, TRPM2, PLCG2, KCNQ4, LOC115491734, SCN1B, CACNG5	176	333	10887	3.343673218673219	0.04781734301763785	0.016324155733668477	0.016214484403158043
GOTERM_CC_FAT	GO:0005576~extracellular region	28	11.715481171548117	2.8445206559454606E-5	PCSK1, SEMA7A, MSTN, SEMA3D, DPT, CPZ, CXCL14, ADAMTS10, FSTL4, FLRT2, LIPG, OTOG, RSPO3, CCL19, TAC1, WNT4, FGFBP2, LOC100225878, IGFBP4, LGI2, SULF1, BMP6, DKK2, COLQ, KITLG, FNDC4, LEP, DIPK2A	123	832	8631	2.361515009380863	0.006210225179435369	0.0031147501182602795	0.003000969292022461
GOTERM_MF_FAT	GO:0015267~channel activity	18	7.531380753138076	4.203003824159036E-5	SLC24A2, SLC12A2, CHRNB4, KCNH5, KCNG4, KCNH7, GABRA5, KCNK12, KCNA2, CACNA1G, TRPM2, GRIN3B, GLRA3, AQP11, KCNQ4, LOC115491734, SCN1B, CACNG5	172	330	10113	3.2070824524312895	0.022399976673463495	0.0056635476530543	0.005474412480967144
GOTERM_MF_FAT	GO:0022803~passive transmembrane transporter activity	18	7.531380753138076	4.203003824159036E-5	SLC24A2, SLC12A2, CHRNB4, KCNH5, KCNG4, KCNH7, GABRA5, KCNK12, KCNA2, CACNA1G, TRPM2, GRIN3B, GLRA3, AQP11, KCNQ4, LOC115491734, SCN1B, CACNG5	172	330	10113	3.2070824524312895	0.022399976673463495	0.0056635476530543	0.005474412480967144
GOTERM_BP_FAT	GO:0006811~monoatomic ion transport	22	9.205020920502092	5.276580214850912E-5	SLC24A2, SLC12A2, STEAP3, CHRNB4, RAMP3, KCNH5, KCNG4, SLC6A17, KCNH7, GABRA5, KCNK12, KCNA2, ATP2B2, CACNA1G, TRPM2, GRIN3B, GLRA3, PLCG2, KCNQ4, LOC115491734, SCN1B, CACNG5	176	501	10887	2.716317365269461	0.09711247304410775	0.021942238002716292	0.021794822450243258
GOTERM_BP_FAT	GO:0040012~regulation of locomotion	18	7.531380753138076	5.669828941270359E-5	PTPRU, SEMA7A, MSTN, SEMA3D, HTR1D, PRKCA, TBR1, SULF1, CXCL14, ROBO1, SCRT2, LOC100232010, SH3RF2, KITLG, PAK1, INPP5F, PLCG2, SINHCAF	176	355	10887	3.13645966709347	0.10396069541619879	0.021942238002716292	0.021794822450243258
