Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_FAT	GO:0038023~signaling receptor activity	139	10.427606901725431	6.11702071439291E-25	EPHB6, CNTFR, VIPR1, OXTR, LOC100224677, VIPR2, CHRM4, NPY2R, LOC100230156, RORA, RORB, AHR, ANTXR2, ADORA1, PLXNC1, IL13RA2, EPHB1, IL13RA1, CHRNB4, GPR78, UNC5A, EPHA8, IL11RA, LOC100222403, IL1R2, UNC5D, LOC121469711, GABRG1, TRHR, ADGRB3, LOC101234202, TYRO3, LOC100221315, PGR, PLA2R1, EPHA3, CSF1R, NPR2, NPR3, LY96, ADRB1, TNFRSF11A, CRHR1, GRIN2A, ADGRG6, DRD1, LOC100220650, DRD4, GRIA4, LOC115496728, LOC100225774, OPN3, HTR1E, INSR, ESRRB, HTR1D, HTR1A, ESRRG, NR1D2, NR2F2, NR1D1, NMBR, LOC100232344, NR2F6, NR4A2, GRIN3B, LPAR5, RET, GPR27, ROBO2, GABRB3, GABRB2, NRP1, NRP2, CD40, GPR26, THRB, FLT4, TREM2, HTR2A, PTH1R, ADRA1B, GRM1, ROBO1, IFIH1, GHR, MC4R, GRM2, HNF4A, GPER1, GRM8, GPR39, ADGRV1, GPR37, GPR34, GFRA1, ADRA2C, GFRA3, LOC100218462, SSTR3, TGFBR1, TNFRSF1A, TGFBR3, NR5A2, ADORA2A, NPY4R2, KIT, PPARG, MET, LOC115494816, LOC100222682, OPRD1, LTK, RAMP3, PTGER2, PTGER3, LRP5, LRP4, ACVR1B, FSTL4, P2RY6, ACVR1C, GLRA3, CHRNA10, GPR158, LOC101233626, P2RY12, LOC115490562, CD74, GABRA1, GABRA5, GPR52, GPR50, ACVR2B, SORL1, ACVR2A, F2RL1, LOC100227477, GPR146	923	618	10113	2.4643627260200485	7.530052499417672E-22	3.765026249708836E-22	3.5570475454194772E-22
GOTERM_MF_FAT	GO:0060089~molecular transducer activity	139	10.427606901725431	6.11702071439291E-25	EPHB6, CNTFR, VIPR1, OXTR, LOC100224677, VIPR2, CHRM4, NPY2R, LOC100230156, RORA, RORB, AHR, ANTXR2, ADORA1, PLXNC1, IL13RA2, EPHB1, IL13RA1, CHRNB4, GPR78, UNC5A, EPHA8, IL11RA, LOC100222403, IL1R2, UNC5D, LOC121469711, GABRG1, TRHR, ADGRB3, LOC101234202, TYRO3, LOC100221315, PGR, PLA2R1, EPHA3, CSF1R, NPR2, NPR3, LY96, ADRB1, TNFRSF11A, CRHR1, GRIN2A, ADGRG6, DRD1, LOC100220650, DRD4, GRIA4, LOC115496728, LOC100225774, OPN3, HTR1E, INSR, ESRRB, HTR1D, HTR1A, ESRRG, NR1D2, NR2F2, NR1D1, NMBR, LOC100232344, NR2F6, NR4A2, GRIN3B, LPAR5, RET, GPR27, ROBO2, GABRB3, GABRB2, NRP1, NRP2, CD40, GPR26, THRB, FLT4, TREM2, HTR2A, PTH1R, ADRA1B, GRM1, ROBO1, IFIH1, GHR, MC4R, GRM2, HNF4A, GPER1, GRM8, GPR39, ADGRV1, GPR37, GPR34, GFRA1, ADRA2C, GFRA3, LOC100218462, SSTR3, TGFBR1, TNFRSF1A, TGFBR3, NR5A2, ADORA2A, NPY4R2, KIT, PPARG, MET, LOC115494816, LOC100222682, OPRD1, LTK, RAMP3, PTGER2, PTGER3, LRP5, LRP4, ACVR1B, FSTL4, P2RY6, ACVR1C, GLRA3, CHRNA10, GPR158, LOC101233626, P2RY12, LOC115490562, CD74, GABRA1, GABRA5, GPR52, GPR50, ACVR2B, SORL1, ACVR2A, F2RL1, LOC100227477, GPR146	923	618	10113	2.4643627260200485	7.530052499417672E-22	3.765026249708836E-22	3.5570475454194772E-22
GOTERM_BP_FAT	GO:0007154~cell communication	333	24.981245311327832	3.699608832497632E-24	EPHB6, CNTFR, VIPR1, OXTR, VIPR2, LOC100224677, PTPDC1, RPS6KA3, RPS6KA1, CCN5, BSN, LOC100228479, EPHB1, UNC5A, EPHA8, HPCAL1, PRKCA, UNC5D, PDYN, GABRG1, TRHR, ADGRB3, TYRO3, SIK1, DNA2, SIK2, LOC100229557, PLPP2, EPHA3, LOC100221185, CTBP2, PDGFB, LYPD1, TGFA, CRHR1, PIK3R6, PIK3R5, GRIN2A, INPP5F, PENK, PLCG2, LOC100220650, LYN, CDT1, JUN, WNT10A, JAG1, FYB1, LOC100224567, HOMER2, INSR, PDE2A, RAB39A, NFATC3, NR1D2, CDC7, NMBR, NR1D1, DCLK1, NET1, FERMT1, LACC1, GRIN3B, PPP1R1A, LPAR5, PPP1R1C, PPP1R1B, PLCH1, PLCH2, RET, GABRB3, GPR27, GABRB2, NRP1, NRP2, CD40, GPR26, TENM3, MSTN, DIRAS2, DOC2B, PTH1R, ROBO1, GLI2, IFIH1, MC4R, PANX2, CSRP3, STAB1, LOC100221646, RAC2, RSPO3, RSPO4, EDARADD, GPR39, GPR37, FGFBP2, SYK, GPR34, RHOH, GFRA1, LOC100218462, LOC100219675, ITPKB, NR5A2, PLCB4, BANK1, KIT, NPY4R2, FIBIN, CLDN19, RHOU, PPARG, RAPGEF3, RHOQ, LOC100223132, ARHGEF6, LOC100224101, OPRD1, RAMP3, PTGER2, PTGER3, PRKX, ADCY1, ADCY8, PAK1, GLRA3, GPNMB, GPC3, STAT4, CHRNA10, CCL19, GPR158, LOC101233626, GDF10, P2RY12, GABRA1, LOC100225337, GABRA5, RFTN1, MIB2, GPR52, WNT7A, DMRT3, SORBS2, GPR50, SULF1, BATF, HIPK2, RNF146, HEYL, KITLG, RIT2, STING1, F2RL1, PLCD4, GPR146, LOC100224950, SEMA5A, RAB3A, FAM13C, DGKB, IRS1, CHRM4, NPY2R, TNC, LOC100230156, IRS2, AHR, DOCK10, RPH3A, NRBP2, NPPC, ARHGAP42, GRB14, ARHGDIB, ADORA1, TNR, PLXNC1, IL13RA2, PDE8A, RGS6, STK32C, MAP3K5, IL13RA1, CHRNB4, GUCY1A1, GPR78, IL11RA, LOC100222403, SEMA6D, CARTPT, DGKZ, ARHGAP45, TOM1L1, CACNB4, DOK4, DOK5, DOK6, SCN8A, PGR, UTRN, PLA2R1, CSF1R, SEMA7A, NPR2, ITPR1, ARHGAP19, ARHGAP18, LY96, LOC100223649, TNFRSF11B, ADRB1, EFNA5, PLD1, RASGRP1, CPLX1, CACNA1G, SLC9A1, BCL2L10, SCUBE1, ADGRG6, ABL2, DRD1, WNT1, TAC1, WNT2, DRD4, GRIA4, WNT4, LOC115496728, TGFB2, OPN3, HTR1E, TGFB3, HTR1D, HTR1A, ESRRG, INHBB, BMP7, LOC100232344, BMP6, ARHGAP24, NFKB1, NFKB2, EFNA1, BMP2, FER, CDK6, RCAN2, FGF18, LOC100221337, MAP3K13, FGF11, PRR5, SNAP25, GSK3B, DOCK4, CNTNAP1, EDA, THRB, ITGB4, RASGRF2, FLT4, ITGB2, HTR2A, LSP1, ADRA1B, INSYN2A, GRM1, INSYN2B, GHR, GRM2, YWHAQ, GPER1, GRM8, ITGAV, LOC100221351, ADGRV1, KSR1, PDE4D, PDE4C, ARHGEF18, ADRA2C, SSTR3, TGFBR1, TNFRSF1A, TGFBR3, ADORA2A, CRH, ITGA7, DSG2, DOCK2, MET, LOC115494816, LOC100222682, LAMA5, NIM1K, LTK, SEMA3D, TUFT1, LEF1, LRP5, LRP4, SEMA3E, ACVR1B, BARX1, THBS1, PTHLH, CACNG7, MAPK9, P2RY6, ACVR1C, SV2C, SH3BP1, SV2B, GNG4, E2F7, CACNG4, CACNG5, SEMA4B, CADPS, ACVR2B, SORL1, ACVR2A, MYO16, MAPK11, TEC, KLF5, TAFA5, LEP, TBKBP1, HCN1	983	2256	10887	1.634781985238415	1.801339540543097E-20	1.8009695796598473E-20	1.7447355254058833E-20
GOTERM_BP_FAT	GO:0023052~signaling	320	24.006001500375092	2.8959702253900453E-21	EPHB6, CNTFR, VIPR1, OXTR, VIPR2, LOC100224677, PTPDC1, RPS6KA3, RPS6KA1, CCN5, BSN, LOC100228479, EPHB1, UNC5A, EPHA8, HPCAL1, PRKCA, UNC5D, PDYN, GABRG1, TRHR, ADGRB3, TYRO3, SIK1, DNA2, SIK2, LOC100229557, PLPP2, EPHA3, LOC100221185, CTBP2, PDGFB, LYPD1, TGFA, CRHR1, PIK3R6, PIK3R5, GRIN2A, INPP5F, PENK, PLCG2, LOC100220650, LYN, CDT1, JUN, WNT10A, JAG1, FYB1, HOMER2, INSR, PDE2A, RAB39A, NFATC3, NR1D2, CDC7, NMBR, NR1D1, DCLK1, NET1, FERMT1, LACC1, GRIN3B, PPP1R1A, LPAR5, PPP1R1C, PPP1R1B, PLCH1, PLCH2, RET, GABRB3, GPR27, GABRB2, NRP1, NRP2, CD40, GPR26, TENM3, MSTN, DIRAS2, DOC2B, PTH1R, ROBO1, GLI2, IFIH1, MC4R, PANX2, CSRP3, STAB1, RAC2, RSPO3, RSPO4, EDARADD, GPR39, GPR37, FGFBP2, SYK, GPR34, RHOH, GFRA1, LOC100218462, LOC100219675, ITPKB, NR5A2, PLCB4, BANK1, KIT, NPY4R2, FIBIN, RHOU, PPARG, RAPGEF3, RHOQ, LOC100223132, ARHGEF6, LOC100224101, OPRD1, RAMP3, PTGER2, PTGER3, PRKX, ADCY1, ADCY8, PAK1, GLRA3, GPNMB, GPC3, STAT4, CHRNA10, CCL19, GPR158, LOC101233626, GDF10, P2RY12, GABRA1, LOC100225337, GABRA5, RFTN1, MIB2, GPR52, WNT7A, SORBS2, GPR50, SULF1, BATF, HIPK2, RNF146, HEYL, KITLG, RIT2, STING1, F2RL1, PLCD4, GPR146, LOC100224950, SEMA5A, RAB3A, FAM13C, DGKB, IRS1, CHRM4, NPY2R, TNC, LOC100230156, IRS2, AHR, DOCK10, RPH3A, NRBP2, NPPC, ARHGAP42, GRB14, ARHGDIB, ADORA1, TNR, PLXNC1, IL13RA2, PDE8A, RGS6, STK32C, MAP3K5, IL13RA1, CHRNB4, GUCY1A1, GPR78, IL11RA, LOC100222403, SEMA6D, CARTPT, DGKZ, ARHGAP45, TOM1L1, CACNB4, DOK4, DOK5, DOK6, PGR, UTRN, PLA2R1, CSF1R, SEMA7A, NPR2, ITPR1, ARHGAP19, ARHGAP18, LY96, LOC100223649, TNFRSF11B, ADRB1, EFNA5, PLD1, RASGRP1, CPLX1, SLC9A1, BCL2L10, SCUBE1, ADGRG6, ABL2, DRD1, WNT1, TAC1, WNT2, DRD4, GRIA4, WNT4, LOC115496728, TGFB2, OPN3, HTR1E, TGFB3, HTR1D, HTR1A, ESRRG, INHBB, BMP7, LOC100232344, BMP6, ARHGAP24, NFKB1, NFKB2, EFNA1, BMP2, FER, CDK6, RCAN2, FGF18, MAP3K13, FGF11, PRR5, SNAP25, GSK3B, DOCK4, EDA, THRB, ITGB4, RASGRF2, FLT4, ITGB2, HTR2A, LSP1, ADRA1B, INSYN2A, GRM1, INSYN2B, GHR, GRM2, YWHAQ, GPER1, GRM8, ITGAV, LOC100221351, ADGRV1, KSR1, PDE4D, PDE4C, ARHGEF18, ADRA2C, SSTR3, TGFBR1, TNFRSF1A, TGFBR3, ADORA2A, CRH, ITGA7, DOCK2, MET, LOC115494816, LOC100222682, LAMA5, NIM1K, LTK, SEMA3D, TUFT1, LEF1, LRP5, LRP4, SEMA3E, ACVR1B, BARX1, THBS1, PTHLH, MAPK9, P2RY6, ACVR1C, SV2C, SH3BP1, SV2B, GNG4, E2F7, SEMA4B, CADPS, ACVR2B, SORL1, ACVR2A, MYO16, MAPK11, TEC, KLF5, TAFA5, LEP, TBKBP1	983	2220	10887	1.5964367215638835	1.410047902742413E-17	7.04879152859937E-18	6.8286977914697264E-18
GOTERM_BP_FAT	GO:0007165~signal transduction	299	22.43060765191298	4.594646091512193E-20	EPHB6, CNTFR, VIPR1, OXTR, VIPR2, LOC100224677, PTPDC1, RPS6KA3, RPS6KA1, CCN5, BSN, LOC100228479, EPHB1, UNC5A, EPHA8, HPCAL1, PRKCA, UNC5D, PDYN, GABRG1, TRHR, ADGRB3, TYRO3, SIK1, DNA2, SIK2, LOC100229557, PLPP2, EPHA3, LOC100221185, PDGFB, LYPD1, TGFA, CRHR1, PIK3R6, PIK3R5, GRIN2A, INPP5F, PENK, PLCG2, LYN, CDT1, JUN, WNT10A, JAG1, FYB1, HOMER2, INSR, PDE2A, RAB39A, NFATC3, NR1D2, CDC7, NMBR, NR1D1, DCLK1, NET1, FERMT1, LACC1, GRIN3B, PPP1R1A, LPAR5, PPP1R1C, PPP1R1B, PLCH1, PLCH2, RET, GABRB3, GPR27, GABRB2, NRP1, NRP2, CD40, GPR26, TENM3, MSTN, DIRAS2, PTH1R, ROBO1, GLI2, IFIH1, MC4R, CSRP3, RAC2, RSPO3, RSPO4, EDARADD, GPR39, GPR37, SYK, GPR34, RHOH, GFRA1, LOC100218462, LOC100219675, ITPKB, NR5A2, PLCB4, BANK1, KIT, NPY4R2, FIBIN, RHOU, PPARG, RAPGEF3, RHOQ, LOC100223132, ARHGEF6, LOC100224101, OPRD1, RAMP3, PTGER2, PTGER3, PRKX, ADCY1, ADCY8, PAK1, GLRA3, GPC3, STAT4, CHRNA10, CCL19, GPR158, LOC101233626, GDF10, P2RY12, GABRA1, LOC100225337, GABRA5, RFTN1, MIB2, GPR52, WNT7A, SORBS2, GPR50, SULF1, BATF, HIPK2, RNF146, HEYL, KITLG, RIT2, STING1, F2RL1, PLCD4, GPR146, LOC100224950, SEMA5A, FAM13C, DGKB, IRS1, CHRM4, NPY2R, LOC100230156, IRS2, AHR, DOCK10, NRBP2, NPPC, ARHGAP42, GRB14, ARHGDIB, ADORA1, PLXNC1, IL13RA2, PDE8A, RGS6, STK32C, MAP3K5, IL13RA1, CHRNB4, GUCY1A1, GPR78, IL11RA, LOC100222403, SEMA6D, CARTPT, DGKZ, ARHGAP45, TOM1L1, DOK4, DOK5, DOK6, PGR, PLA2R1, CSF1R, SEMA7A, NPR2, ITPR1, ARHGAP19, ARHGAP18, LY96, LOC100223649, TNFRSF11B, ADRB1, EFNA5, PLD1, RASGRP1, SLC9A1, BCL2L10, SCUBE1, ADGRG6, DRD1, WNT1, TAC1, WNT2, DRD4, GRIA4, WNT4, LOC115496728, TGFB2, OPN3, HTR1E, TGFB3, HTR1D, HTR1A, ESRRG, INHBB, BMP7, LOC100232344, BMP6, ARHGAP24, NFKB1, NFKB2, EFNA1, BMP2, FER, CDK6, RCAN2, FGF18, MAP3K13, FGF11, PRR5, GSK3B, DOCK4, EDA, THRB, ITGB4, RASGRF2, FLT4, ITGB2, HTR2A, LSP1, ADRA1B, INSYN2A, GRM1, INSYN2B, GHR, GRM2, YWHAQ, GPER1, GRM8, ITGAV, LOC100221351, ADGRV1, KSR1, PDE4D, PDE4C, ARHGEF18, ADRA2C, SSTR3, TGFBR1, TNFRSF1A, TGFBR3, ADORA2A, ITGA7, DOCK2, MET, LOC115494816, LOC100222682, LAMA5, NIM1K, LTK, SEMA3D, TUFT1, LEF1, LRP5, LRP4, SEMA3E, ACVR1B, BARX1, THBS1, PTHLH, MAPK9, P2RY6, ACVR1C, SH3BP1, GNG4, E2F7, SEMA4B, ACVR2B, SORL1, ACVR2A, MYO16, MAPK11, TEC, TAFA5, LEP, TBKBP1	983	2061	10887	1.6067484944196908	2.2371331819572866E-16	7.455579057827119E-17	7.222783655857167E-17
GOTERM_MF_FAT	GO:0004888~transmembrane signaling receptor activity	109	8.177044261065266	4.032173279100259E-18	EPHB6, CNTFR, VIPR1, OXTR, LOC100224677, VIPR2, CHRM4, NPY2R, LOC100230156, ADORA1, PLXNC1, IL13RA2, EPHB1, IL13RA1, CHRNB4, GPR78, UNC5A, EPHA8, IL11RA, LOC100222403, IL1R2, UNC5D, LOC121469711, GABRG1, TRHR, ADGRB3, TYRO3, EPHA3, CSF1R, ADRB1, TNFRSF11A, CRHR1, GRIN2A, ADGRG6, DRD1, LOC100220650, DRD4, GRIA4, LOC115496728, OPN3, HTR1E, INSR, HTR1D, HTR1A, NMBR, LOC100232344, GRIN3B, LPAR5, RET, GPR27, ROBO2, GABRB3, GABRB2, NRP1, NRP2, CD40, GPR26, FLT4, HTR2A, PTH1R, ADRA1B, GRM1, ROBO1, GHR, MC4R, GRM2, GPER1, GRM8, GPR39, ADGRV1, GPR37, GPR34, ADRA2C, GFRA3, LOC100218462, SSTR3, TGFBR1, TNFRSF1A, TGFBR3, ADORA2A, NPY4R2, KIT, MET, LOC115494816, LOC100222682, OPRD1, LTK, PTGER2, PTGER3, LRP5, ACVR1B, FSTL4, P2RY6, ACVR1C, GLRA3, CHRNA10, GPR158, LOC101233626, P2RY12, CD74, GABRA1, GABRA5, GPR52, GPR50, ACVR2B, SORL1, ACVR2A, F2RL1, GPR146	923	505	10113	2.3649035109361423	4.9636053065724186E-15	1.6545351021908061E-15	1.5631391745312004E-15
GOTERM_CC_FAT	GO:0005576~extracellular region	135	10.127531882970743	8.172359898371583E-16	CNTFR, TNC, LOC100230278, SSC4D, IFI30, CXCL14, NPPC, LIPG, CCN5, LOC101233409, LOC100226213, ARRDC4, COL27A1, LOC100225878, IGFBP4, ENTPD5, SEMA6D, IGFBP2, FIBCD1, CARTPT, PDYN, DKK2, FNDC4, ADGRB3, SELENOP, COL8A2, NBL1, SEMA7A, LOC100223369, PDGFB, DPT, TGFA, TNFRSF11B, FBLN1, ADAMTS10, SCUBE1, FLRT2, FLRT3, STC2, PENK, OTOG, LOC100223082, WNT1, TAC1, WNT2, WNT4, TGFB2, WNT10A, COL24A1, TGFB3, INHBB, PRG4, BMP7, BMP6, BMP2, PROC, LOC100227271, AGO2, FGF18, SDC1, MELTF, FGF11, FBN1, MOXD1, PCSK1, EDA, MSTN, CPZ, PCSK5, ADAMTS5, GLIPR2, LRRTM2, LOC100224071, RSPO3, SOSTDC1, MAN1A1, ADAMTS8, ADAMTS7, LOC100221351, GATD1, LOC100225436, PLA2G12A, FGFBP2, EDN3, MMP9, LOC115498583, C1QL3, C1QL1, GREM1, TGFBR3, KIT, FIBIN, CRH, FAM20C, FAM20A, DIPK2A, LOC100224101, C1QB, LAMA5, SEMA3D, SEMA3E, THBS2, THBS1, PTHLH, FSTL4, THSD4, ACAN, MUC2, MGAT5, GPC1, GPC3, MAN1C1, HAS2, CCL19, GDF10, CD74, LAMB2, IL34, SEMA4B, LGI2, WNT7A, CCK, SULF1, KAZALD1, SORL1, COLQ, SMOC2, KITLG, TAFA5, TAFA3, LEP, LOC100224083, PTX3, CCDC3, IL17D	703	832	8631	1.9921233860378595	4.297673328323981E-13	4.5193150237994855E-13	4.2251100674581083E-13
GOTERM_CC_FAT	GO:0030054~cell junction	149	11.177794448612154	1.449209867348559E-14	RAB3A, CLSTN2, CHRM4, LOC100230156, IFI30, AQP3, ZDHHC2, RPH3A, CDH5, POF1B, ADORA1, LOC101233409, TNR, PLXNC1, BSN, LZTS1, EPHB1, PPFIA2, KIRREL3, CHRNB4, GUCY1A1, CXADR, PRKCH, SLC30A3, SLC6A17, PRKCA, CARTPT, PDYN, SHISA8, SRCIN1, GABRG1, PRKAR1B, ADGRB3, MAP1B, PLA2R1, UTRN, DSC1, PHLDB2, SPTBN5, CTBP2, NPR2, ITPR1, LYPD1, PCDH15, PLD1, CYP19A1, CPLX1, IGSF21, GRIN2A, FLRT2, FLRT3, EPB41L2, CDH22, PENK, DRD1, NPTX2, LOC100220650, DRD4, GRIA4, JAG1, CNTN5, CADM1, HOMER2, PDE2A, HTR1D, HTR1A, NR1D1, ARHGAP24, LRFN2, FERMT1, PLCXD3, GRIN3B, PPFIBP1, FAT2, FAT3, GABRB3, SNAP25, CNTNAP2, GABRB2, NRP1, GSK3B, PTPRU, CNTNAP1, NRP2, ITGB4, ITGB2, LRRC4, HTR2A, DOC2B, GRM1, INSYN2A, INSYN2B, PANX2, CALB1, LRRTM2, ITGAV, NOS1, KCND3, KCNAB2, C1QL3, TGFBR1, CDH10, KIT, CRH, CLDN19, DSG2, DSG4, ARHGEF6, LAMA5, CRB1, KCNA2, LRP4, ASAP1, ADCY1, THSD1, TMEM163, BEGAIN, PDLIM1, ACAN, CACNG7, PAK1, SV2C, GLRA3, SV2B, SLITRK2, SH3BP1, GPC1, CHRNA10, CTNNA2, CACNG4, GPR158, CACNG5, MPP1, GABRA1, LOC105759083, LAMB2, GABRA5, SEPTIN2, SEMA4B, CADPS, SEPTIN5, ZNF804A, WNT7A, SORBS2, ATP2B2, MDGA1, NECTIN3, NECTIN1, HCN1	703	991	8631	1.8459435057767417	8.042788657292022E-12	4.0070652832187655E-12	3.746207507096025E-12
GOTERM_CC_FAT	GO:0034702~monoatomic ion channel complex	54	4.051012753188297	2.3720793730267285E-14	GABRB3, KCNG1, RYR2, CNTNAP2, GABRB2, KCNG3, KCNG4, LRRC38, LOC121470718, MCUB, LOC100230156, RYR3, ABHD12, LOC100221646, LOC115491734, SCN1B, KCNH2, TRPC5, KCNH4, KCNH5, KCND3, KCNH7, CACNA2D1, KCNK12, KCNK13, CACNA2D2, KCNAB2, SHISA8, GABRG1, CACNB4, SCN8A, CNGB1, KCNA2, CACNA1G, CACNG7, LOC105758604, GRIN2A, GLRA3, KCNMB2, LOC100220650, CACNG4, CACNG5, KCNJ3, GRIA4, KCNF1, GABRA1, LOC100224567, KCNIP1, GABRA5, LRRN4, GRIN3B, KCNS1, LOC100221337, HCN1	703	209	8631	3.1721467123129172	1.3138601318019028E-11	4.372532977612603E-12	4.087883452849396E-12
GOTERM_CC_FAT	GO:0043005~neuron projection	103	7.726931732933233	2.2784182795154457E-13	EPHB6, RIPOR2, RAB3A, CHRM4, LOC100230156, CDC14A, ABHD12, RPH3A, DPYSL3, ADORA1, BSN, LOC115491734, LZTS1, VSTM5, EPHB1, SCN1B, CHRNB4, SLC30A3, EPHA8, PRKCA, PDYN, LOC121469711, SHISA8, GABRG1, MAP1B, SCN8A, EPHA3, TPH2, NPR2, PCDH15, CYP19A1, CPLX1, CRHR1, CACNA1G, GRIN2A, INPP5F, PENK, MAP4, LOC100220650, BRINP3, GRIA4, OPN3, LOC100224567, CNTN5, CADM1, HTR1E, HOMER2, INSR, HTR1D, NR1D1, LOC100232344, DCLK1, AGO2, LOC100221337, CNTN4, RET, ROBO2, GABRB3, SNAP25, CNTNAP2, GABRB2, NRP1, GSK3B, CNTNAP1, NRP2, TENM3, HTR2A, MYPN, GRM1, ROBO1, CALB1, LOC100221646, DNER, NOS1, EMB, KCND3, KCNAB2, LOC100218462, SSTR3, NPY4R2, IGDCC3, RHOQ, CNGB1, OPRD1, CRB1, KCNA2, USH1C, ASAP1, FSTL4, GLRA3, SLITRK2, CHRNA10, CTNNA2, SLC12A2, GABRA1, GABRA5, SEPTIN2, ZNF804A, SORBS2, CCK, SLC4A8, VIM, HCN1	703	605	8631	2.0901990289550096	1.2598322385315441E-10	3.1499132714301036E-11	2.944855626273714E-11
