Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_FAT	GO:0060089~molecular transducer activity	66	9.67741935483871	1.587379491706289E-11	RET, EPHB6, GPR27, NRP1, CNTFR, NRP2, CD40, VIPR2, LOC100230156, TREM2, ANTXR2, GRM1, MC4R, GHR, HNF4A, PLXNC1, IL13RA2, EPHB1, GPR39, ADGRV1, UNC5A, GPR34, LOC100222403, IL1R2, UNC5D, ADRA2C, SSTR3, TGFBR1, GABRG1, TNFRSF1A, TRHR, TGFBR3, NR5A2, ADORA2A, ADGRB3, NPY4R2, TYRO3, PGR, MET, OPRD1, CSF1R, LTK, NPR2, PTGER3, NPR3, TNFRSF11A, CRHR1, P2RY6, ADGRG6, DRD1, LOC100220650, DRD4, LOC101233626, GRIA4, P2RY12, LOC100225774, CD74, INSR, GPR52, HTR1A, GPR50, NR2F2, NMBR, LPAR5, F2RL1, LOC100227477	441	618	10113	2.449045637672545	1.315933595424923E-8	6.579687993122568E-9	6.452697633786065E-9
GOTERM_MF_FAT	GO:0038023~signaling receptor activity	66	9.67741935483871	1.587379491706289E-11	RET, EPHB6, GPR27, NRP1, CNTFR, NRP2, CD40, VIPR2, LOC100230156, TREM2, ANTXR2, GRM1, MC4R, GHR, HNF4A, PLXNC1, IL13RA2, EPHB1, GPR39, ADGRV1, UNC5A, GPR34, LOC100222403, IL1R2, UNC5D, ADRA2C, SSTR3, TGFBR1, GABRG1, TNFRSF1A, TRHR, TGFBR3, NR5A2, ADORA2A, ADGRB3, NPY4R2, TYRO3, PGR, MET, OPRD1, CSF1R, LTK, NPR2, PTGER3, NPR3, TNFRSF11A, CRHR1, P2RY6, ADGRG6, DRD1, LOC100220650, DRD4, LOC101233626, GRIA4, P2RY12, LOC100225774, CD74, INSR, GPR52, HTR1A, GPR50, NR2F2, NMBR, LPAR5, F2RL1, LOC100227477	441	618	10113	2.449045637672545	1.315933595424923E-8	6.579687993122568E-9	6.452697633786065E-9
GOTERM_BP_FAT	GO:0007154~cell communication	160	23.46041055718475	7.085484686924982E-11	EPHB6, SEMA5A, CNTFR, VIPR2, DGKB, IRS1, TNC, LOC100230156, IRS2, PTPDC1, DOCK10, NPPC, ARHGAP42, ARHGDIB, RPS6KA1, CCN5, TNR, PLXNC1, IL13RA2, LOC100228479, EPHB1, STK32C, GUCY1A1, UNC5A, LOC100222403, SEMA6D, HPCAL1, CARTPT, UNC5D, PDYN, GABRG1, ARHGAP45, TRHR, TOM1L1, DOK4, ADGRB3, DOK5, DOK6, TYRO3, PGR, DNA2, CSF1R, CTBP2, NPR2, PDGFB, ITPR1, LYPD1, ARHGAP18, LOC100223649, TGFA, PLD1, CRHR1, BCL2L10, PENK, ADGRG6, DRD1, WNT1, LOC100220650, WNT2, DRD4, GRIA4, LYN, CDT1, JUN, WNT10A, FYB1, JAG1, INSR, PDE2A, HTR1A, RAB39A, NFATC3, INHBB, CDC7, NMBR, BMP7, EFNA1, FERMT1, BMP2, LPAR5, PPP1R1B, FGF18, LOC100221337, RET, GPR27, NRP1, DOCK4, NRP2, CD40, TENM3, EDA, RASGRF2, ITGB2, LSP1, DOC2B, GRM1, INSYN2A, GLI2, INSYN2B, GHR, MC4R, CSRP3, YWHAQ, STAB1, LOC100221646, RAC2, ITGAV, RSPO4, GPR39, ADGRV1, GPR34, RHOH, ARHGEF18, ADRA2C, SSTR3, TGFBR1, LOC100219675, TNFRSF1A, TGFBR3, NR5A2, PLCB4, ADORA2A, BANK1, NPY4R2, CLDN19, RHOU, DSG2, DOCK2, MET, RHOQ, OPRD1, LTK, PTGER3, PRKX, ADCY8, BARX1, THBS1, PTHLH, P2RY6, SV2C, GPNMB, SH3BP1, GPC3, STAT4, CACNG4, LOC101233626, GDF10, P2RY12, SEMA4B, RFTN1, GPR52, SORBS2, GPR50, MYO16, RNF146, HEYL, RIT2, TAFA5, STING1, F2RL1	482	2256	10887	1.6019246049262823	2.4785033081453633E-7	2.477793995017666E-7	2.4331554414900386E-7
GOTERM_CC_FAT	GO:0005576~extracellular region	71	10.410557184750733	1.5190920641877778E-10	CNTFR, MOXD1, EDA, TNC, SSC4D, IFI30, ADAMTS5, NPPC, GLIPR2, LRRTM2, CCN5, LOC101233409, SOSTDC1, MAN1A1, ADAMTS8, LOC100226213, ADAMTS7, GATD1, LOC100225436, EDN3, ENTPD5, SEMA6D, IGFBP2, FIBCD1, CARTPT, PDYN, MMP9, C1QL3, TGFBR3, GREM1, ADGRB3, SELENOP, COL8A2, FAM20C, C1QB, LOC100223369, PDGFB, TGFA, FBLN1, THBS2, THBS1, PTHLH, THSD4, MUC2, PENK, MAN1C1, LOC100223082, GPC3, HAS2, WNT1, WNT2, GDF10, CD74, WNT10A, LAMB2, IL34, SEMA4B, INHBB, CCK, PRG4, BMP7, KAZALD1, SMOC2, BMP2, TAFA5, TAFA3, FGF18, LOC100224083, SDC1, CCDC3, FBN1	334	832	8631	2.205208573238139	6.34980235059146E-8	5.6299922777350785E-8	5.347145775743603E-8
GOTERM_MF_FAT	GO:0004888~transmembrane signaling receptor activity	56	8.211143695014663	1.8566957379730104E-10	RET, EPHB6, GPR27, NRP1, CNTFR, NRP2, CD40, VIPR2, LOC100230156, GRM1, MC4R, GHR, PLXNC1, IL13RA2, EPHB1, GPR39, ADGRV1, UNC5A, GPR34, LOC100222403, IL1R2, UNC5D, ADRA2C, SSTR3, TGFBR1, GABRG1, TNFRSF1A, TRHR, TGFBR3, ADORA2A, ADGRB3, NPY4R2, TYRO3, MET, OPRD1, CSF1R, LTK, PTGER3, TNFRSF11A, CRHR1, P2RY6, ADGRG6, DRD1, LOC100220650, DRD4, LOC101233626, GRIA4, P2RY12, CD74, INSR, GPR52, HTR1A, GPR50, NMBR, LPAR5, F2RL1	441	505	10113	2.542951438000943	1.5392007890469017E-7	5.1306692225987515E-8	5.031645449906858E-8
GOTERM_CC_FAT	GO:0030054~cell junction	79	11.58357771260997	2.6937762094426214E-10	NRP1, NRP2, ITGB2, LOC100230156, DOC2B, IFI30, AQP3, GRM1, INSYN2A, INSYN2B, CALB1, POF1B, LRRTM2, LOC101233409, TNR, ITGAV, NOS1, PLXNC1, EPHB1, LZTS1, PPFIA2, KIRREL3, GUCY1A1, CXADR, PRKCH, SLC30A3, KCND3, CARTPT, PDYN, SHISA8, C1QL3, TGFBR1, GABRG1, PRKAR1B, ADGRB3, CDH10, CLDN19, DSG2, DSG4, PHLDB2, DSC1, CRB1, SPTBN5, CTBP2, NPR2, LYPD1, ITPR1, PLD1, CYP19A1, BEGAIN, PDLIM1, SV2C, SH3BP1, EPB41L2, CDH22, PENK, DRD1, NPTX2, LOC100220650, DRD4, CACNG4, GRIA4, JAG1, CNTN5, CADM1, LAMB2, SEPTIN2, SEMA4B, PDE2A, HTR1A, ZNF804A, SORBS2, LRFN2, FERMT1, PPFIBP1, FAT2, FAT3, MDGA1, NECTIN3	334	991	8631	2.06000410883581	1.125998435602682E-7	5.6299922777350785E-8	5.347145775743603E-8
GOTERM_BP_FAT	GO:0007165~signal transduction	147	21.55425219941349	4.64444435326721E-10	EPHB6, SEMA5A, CNTFR, VIPR2, DGKB, IRS1, LOC100230156, IRS2, PTPDC1, DOCK10, NPPC, ARHGAP42, ARHGDIB, RPS6KA1, CCN5, PLXNC1, IL13RA2, LOC100228479, EPHB1, STK32C, GUCY1A1, UNC5A, LOC100222403, SEMA6D, HPCAL1, CARTPT, UNC5D, PDYN, GABRG1, ARHGAP45, TRHR, TOM1L1, DOK4, ADGRB3, DOK5, DOK6, TYRO3, PGR, DNA2, CSF1R, NPR2, PDGFB, ITPR1, LYPD1, ARHGAP18, LOC100223649, TGFA, PLD1, CRHR1, BCL2L10, PENK, ADGRG6, DRD1, WNT1, WNT2, DRD4, GRIA4, LYN, CDT1, JUN, WNT10A, FYB1, JAG1, INSR, PDE2A, HTR1A, RAB39A, NFATC3, INHBB, CDC7, NMBR, BMP7, EFNA1, FERMT1, BMP2, LPAR5, PPP1R1B, FGF18, RET, GPR27, NRP1, DOCK4, NRP2, CD40, TENM3, EDA, RASGRF2, ITGB2, LSP1, GRM1, INSYN2A, GLI2, INSYN2B, GHR, MC4R, CSRP3, YWHAQ, RAC2, ITGAV, RSPO4, GPR39, ADGRV1, GPR34, RHOH, ARHGEF18, ADRA2C, SSTR3, TGFBR1, LOC100219675, TNFRSF1A, TGFBR3, NR5A2, PLCB4, ADORA2A, BANK1, NPY4R2, RHOU, DOCK2, MET, RHOQ, OPRD1, LTK, PTGER3, PRKX, ADCY8, BARX1, THBS1, PTHLH, P2RY6, SH3BP1, GPC3, STAT4, LOC101233626, GDF10, P2RY12, SEMA4B, RFTN1, GPR52, SORBS2, GPR50, MYO16, RNF146, HEYL, RIT2, TAFA5, STING1, F2RL1	482	2061	10887	1.6110185000634185	1.6246254818108596E-6	6.688689429457171E-7	6.568189734273927E-7
GOTERM_BP_FAT	GO:0023052~signaling	155	22.727272727272727	5.738080723011584E-10	EPHB6, SEMA5A, CNTFR, VIPR2, DGKB, IRS1, TNC, LOC100230156, IRS2, PTPDC1, DOCK10, NPPC, ARHGAP42, ARHGDIB, RPS6KA1, CCN5, TNR, PLXNC1, IL13RA2, LOC100228479, EPHB1, STK32C, GUCY1A1, UNC5A, LOC100222403, SEMA6D, HPCAL1, CARTPT, UNC5D, PDYN, GABRG1, ARHGAP45, TRHR, TOM1L1, DOK4, ADGRB3, DOK5, DOK6, TYRO3, PGR, DNA2, CSF1R, CTBP2, NPR2, PDGFB, ITPR1, LYPD1, ARHGAP18, LOC100223649, TGFA, PLD1, CRHR1, BCL2L10, PENK, ADGRG6, DRD1, WNT1, LOC100220650, WNT2, DRD4, GRIA4, LYN, CDT1, JUN, WNT10A, FYB1, JAG1, INSR, PDE2A, HTR1A, RAB39A, NFATC3, INHBB, CDC7, NMBR, BMP7, EFNA1, FERMT1, BMP2, LPAR5, PPP1R1B, FGF18, RET, GPR27, NRP1, DOCK4, NRP2, CD40, TENM3, EDA, RASGRF2, ITGB2, LSP1, DOC2B, GRM1, INSYN2A, GLI2, INSYN2B, GHR, MC4R, CSRP3, YWHAQ, STAB1, RAC2, ITGAV, RSPO4, GPR39, ADGRV1, GPR34, RHOH, ARHGEF18, ADRA2C, SSTR3, TGFBR1, LOC100219675, TNFRSF1A, TGFBR3, NR5A2, PLCB4, ADORA2A, BANK1, NPY4R2, RHOU, DOCK2, MET, RHOQ, OPRD1, LTK, PTGER3, PRKX, ADCY8, BARX1, THBS1, PTHLH, P2RY6, SV2C, GPNMB, SH3BP1, GPC3, STAT4, LOC101233626, GDF10, P2RY12, SEMA4B, RFTN1, GPR52, SORBS2, GPR50, MYO16, RNF146, HEYL, RIT2, TAFA5, STING1, F2RL1	482	2220	10887	1.5770298306605361	2.007178762419848E-6	6.688689429457171E-7	6.568189734273927E-7
GOTERM_BP_FAT	GO:0007166~cell surface receptor signaling pathway	72	10.557184750733137	3.066604465582654E-8	SEMA5A, RET, EPHB6, NRP1, CNTFR, NRP2, CD40, VIPR2, EDA, IRS1, ITGB2, IRS2, GRM1, PTPDC1, INSYN2A, INSYN2B, GLI2, GHR, NPPC, CSRP3, ITGAV, PLXNC1, IL13RA2, EPHB1, RSPO4, ADGRV1, UNC5A, SEMA6D, UNC5D, TGFBR1, TGFBR3, DOK4, ADORA2A, ADGRB3, DOK5, DOK6, TYRO3, MET, CSF1R, LTK, NPR2, PDGFB, TGFA, LOC100223649, BARX1, CRHR1, BCL2L10, SH3BP1, ADGRG6, GPC3, STAT4, WNT1, WNT2, GRIA4, LYN, GDF10, JUN, WNT10A, JAG1, FYB1, INSR, SEMA4B, RFTN1, INHBB, SORBS2, BMP7, EFNA1, RNF146, FERMT1, HEYL, BMP2, FGF18	482	826	10887	1.9688545507520119	1.0726407281580475E-4	2.6809789540356353E-5	2.6326799337027085E-5
GOTERM_BP_FAT	GO:0010647~positive regulation of cell communication	56	8.211143695014663	2.692002949272409E-7	RET, GPR27, CD40, EDA, IRS1, IRS2, GRM1, GHR, GLIPR2, LOC105759117, LRRTM2, CA7, TNR, ITGAV, RSPO4, TASL, GUCY1A1, PRKCH, SLC2A10, LOC100222403, SLC35C2, CARTPT, ADRA2C, TGFBR1, ELAPOR2, TGFBR3, ASPM, DOK4, DOK5, BANK1, DOK6, TYRO3, CARD11, CSF1R, CTBP2, LOC115498119, PDGFB, ITPR1, LOC100223649, THBS1, CYP19A1, GPNMB, GPC3, DRD1, WNT1, BID, SNX5, CACNG4, CD74, JAG1, INSR, SH3RF3, FERMT1, STING1, FGF18, F2RL1	482	609	10887	2.0769781084561454	9.412195332222373E-4	1.7736780540188293E-4	1.741724460251833E-4
