Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_FAT	GO:0007154~cell communication	173	26.574500768049152	2.4112303769743936E-13	LOC100224950, VIPR1, OXTR, LOC100224677, RAB3A, FAM13C, CHRM4, NPY2R, AHR, RPH3A, RPS6KA3, NRBP2, GRB14, ADORA1, BSN, PDE8A, RGS6, MAP3K5, IL13RA1, CHRNB4, GPR78, EPHA8, IL11RA, PRKCA, DGKZ, CACNB4, SCN8A, SIK1, SIK2, PLA2R1, LOC100229557, UTRN, PLPP2, EPHA3, LOC100221185, SEMA7A, ARHGAP19, LY96, TNFRSF11B, ADRB1, EFNA5, RASGRP1, CPLX1, PIK3R6, CACNA1G, PIK3R5, SLC9A1, GRIN2A, SCUBE1, INPP5F, PLCG2, ABL2, TAC1, WNT4, LOC115496728, TGFB2, OPN3, LOC100224567, HTR1E, HOMER2, TGFB3, HTR1D, ESRRG, NR1D2, NR1D1, LOC100232344, BMP6, ARHGAP24, DCLK1, NFKB1, NFKB2, NET1, LACC1, FER, GRIN3B, CDK6, PPP1R1A, PPP1R1C, RCAN2, PLCH1, PLCH2, MAP3K13, FGF11, PRR5, GABRB3, SNAP25, GABRB2, GSK3B, CNTNAP1, GPR26, THRB, MSTN, ITGB4, FLT4, DIRAS2, HTR2A, PTH1R, ADRA1B, ROBO1, IFIH1, GRM2, PANX2, GPER1, GRM8, RSPO3, LOC100221351, EDARADD, GPR37, FGFBP2, KSR1, SYK, PDE4D, PDE4C, GFRA1, LOC100218462, ITPKB, KIT, FIBIN, CRH, ITGA7, PPARG, LOC115494816, RAPGEF3, LOC100223132, LOC100222682, ARHGEF6, LOC100224101, LAMA5, NIM1K, RAMP3, SEMA3D, TUFT1, PTGER2, LEF1, LRP5, LRP4, SEMA3E, ADCY1, ACVR1B, CACNG7, MAPK9, PAK1, ACVR1C, GLRA3, SV2B, GNG4, CHRNA10, CCL19, GPR158, E2F7, CACNG5, GABRA1, LOC100225337, GABRA5, CADPS, MIB2, WNT7A, DMRT3, SULF1, ACVR2B, SORL1, ACVR2A, BATF, HIPK2, MAPK11, KITLG, TEC, KLF5, LEP, TBKBP1, PLCD4, HCN1, GPR146	501	2256	10887	1.666393277275237	8.418212793515067E-10	8.415194015640634E-10	8.297043727168889E-10
GOTERM_MF_FAT	GO:0060089~molecular transducer activity	73	11.213517665130567	5.88260144210666E-13	ROBO2, GABRB3, GABRB2, OXTR, VIPR1, THRB, GPR26, LOC100224677, CHRM4, FLT4, NPY2R, RORA, RORB, HTR2A, AHR, PTH1R, ADRA1B, ROBO1, IFIH1, GRM2, GPER1, GRM8, ADORA1, IL13RA1, CHRNB4, GPR37, GPR78, EPHA8, IL11RA, GFRA1, LOC100218462, GFRA3, LOC121469711, LOC101234202, KIT, LOC100221315, PPARG, PLA2R1, LOC115494816, EPHA3, LOC100222682, RAMP3, PTGER2, LRP5, LRP4, LY96, ADRB1, ACVR1B, FSTL4, GRIN2A, ACVR1C, GLRA3, CHRNA10, GPR158, LOC115496728, LOC115490562, GABRA1, OPN3, HTR1E, GABRA5, HTR1D, ESRRB, ESRRG, NR1D2, NR1D1, ACVR2B, SORL1, LOC100232344, ACVR2A, NR2F6, NR4A2, GRIN3B, GPR146	482	618	10113	2.4783769085122667	5.388893775659653E-10	2.6942314604848507E-10	2.5442251237111307E-10
GOTERM_MF_FAT	GO:0038023~signaling receptor activity	73	11.213517665130567	5.88260144210666E-13	ROBO2, GABRB3, GABRB2, OXTR, VIPR1, THRB, GPR26, LOC100224677, CHRM4, FLT4, NPY2R, RORA, RORB, HTR2A, AHR, PTH1R, ADRA1B, ROBO1, IFIH1, GRM2, GPER1, GRM8, ADORA1, IL13RA1, CHRNB4, GPR37, GPR78, EPHA8, IL11RA, GFRA1, LOC100218462, GFRA3, LOC121469711, LOC101234202, KIT, LOC100221315, PPARG, PLA2R1, LOC115494816, EPHA3, LOC100222682, RAMP3, PTGER2, LRP5, LRP4, LY96, ADRB1, ACVR1B, FSTL4, GRIN2A, ACVR1C, GLRA3, CHRNA10, GPR158, LOC115496728, LOC115490562, GABRA1, OPN3, HTR1E, GABRA5, HTR1D, ESRRB, ESRRG, NR1D2, NR1D1, ACVR2B, SORL1, LOC100232344, ACVR2A, NR2F6, NR4A2, GRIN3B, GPR146	482	618	10113	2.4783769085122667	5.388893775659653E-10	2.6942314604848507E-10	2.5442251237111307E-10
GOTERM_CC_FAT	GO:0034702~monoatomic ion channel complex	35	5.376344086021505	9.895112438452286E-12	GABRB3, RYR2, CNTNAP2, GABRB2, KCNG4, LRRC38, KCNA2, MCUB, RYR3, CACNA1G, ABHD12, CACNG7, GRIN2A, GLRA3, LOC115491734, SCN1B, CACNG5, KCNJ3, KCNH2, KCNF1, GABRA1, LOC100224567, KCNH5, KCNH7, GABRA5, KCNK12, KCNK13, LRRN4, CACNA2D2, KCNAB2, GRIN3B, CACNB4, KCNS1, SCN8A, HCN1	369	209	8631	3.917026490839071	3.81950271410858E-9	3.8195134012425825E-9	3.631506264911989E-9
GOTERM_BP_FAT	GO:0023052~signaling	165	25.34562211981567	1.8426149559109646E-11	LOC100224950, VIPR1, OXTR, LOC100224677, RAB3A, FAM13C, CHRM4, NPY2R, AHR, RPH3A, RPS6KA3, NRBP2, GRB14, ADORA1, BSN, PDE8A, RGS6, MAP3K5, IL13RA1, CHRNB4, GPR78, EPHA8, IL11RA, PRKCA, DGKZ, CACNB4, SIK1, SIK2, PLA2R1, LOC100229557, UTRN, PLPP2, EPHA3, LOC100221185, SEMA7A, ARHGAP19, LY96, TNFRSF11B, ADRB1, EFNA5, RASGRP1, CPLX1, PIK3R6, PIK3R5, SLC9A1, GRIN2A, SCUBE1, INPP5F, PLCG2, ABL2, TAC1, WNT4, LOC115496728, TGFB2, OPN3, HTR1E, HOMER2, TGFB3, HTR1D, ESRRG, NR1D2, NR1D1, LOC100232344, BMP6, ARHGAP24, DCLK1, NFKB1, NFKB2, NET1, LACC1, FER, GRIN3B, CDK6, PPP1R1A, PPP1R1C, RCAN2, PLCH1, PLCH2, MAP3K13, FGF11, PRR5, GABRB3, SNAP25, GABRB2, GSK3B, GPR26, THRB, MSTN, ITGB4, FLT4, DIRAS2, HTR2A, PTH1R, ADRA1B, ROBO1, IFIH1, GRM2, PANX2, GPER1, GRM8, RSPO3, LOC100221351, EDARADD, GPR37, FGFBP2, KSR1, SYK, PDE4D, PDE4C, GFRA1, LOC100218462, ITPKB, KIT, FIBIN, CRH, ITGA7, PPARG, LOC115494816, RAPGEF3, LOC100223132, LOC100222682, ARHGEF6, LOC100224101, LAMA5, NIM1K, RAMP3, SEMA3D, TUFT1, PTGER2, LEF1, LRP5, LRP4, SEMA3E, ADCY1, ACVR1B, MAPK9, PAK1, ACVR1C, GLRA3, SV2B, GNG4, CHRNA10, CCL19, GPR158, E2F7, GABRA1, LOC100225337, GABRA5, CADPS, MIB2, WNT7A, SULF1, ACVR2B, SORL1, ACVR2A, BATF, HIPK2, MAPK11, KITLG, TEC, KLF5, LEP, TBKBP1, PLCD4, GPR146	501	2220	10887	1.6151076225926524	6.432568577796616E-8	3.215363098064633E-8	3.1702190316448143E-8
GOTERM_CC_FAT	GO:1902495~transmembrane transporter complex	36	5.529953917050691	1.1538495094629445E-10	GABRB3, RYR2, CNTNAP2, GABRB2, KCNG4, LRRC38, KCNA2, MCUB, RYR3, SLC9A1, CACNA1G, ABHD12, CACNG7, GRIN2A, GLRA3, LOC115491734, SCN1B, CACNG5, KCNJ3, KCNH2, KCNF1, GABRA1, LOC100224567, KCNH5, KCNH7, GABRA5, KCNK12, KCNK13, LRRN4, CACNA2D2, KCNAB2, GRIN3B, CACNB4, KCNS1, SCN8A, HCN1	369	240	8631	3.508536585365854	4.453857960218244E-8	2.226929553263483E-8	2.1173138498645032E-8
GOTERM_BP_FAT	GO:0007165~signal transduction	152	23.34869431643625	3.4321323308190726E-10	LOC100224950, VIPR1, OXTR, LOC100224677, FAM13C, CHRM4, NPY2R, AHR, RPS6KA3, NRBP2, GRB14, ADORA1, BSN, PDE8A, RGS6, MAP3K5, IL13RA1, CHRNB4, GPR78, EPHA8, IL11RA, PRKCA, DGKZ, SIK1, SIK2, PLA2R1, LOC100229557, PLPP2, EPHA3, LOC100221185, SEMA7A, ARHGAP19, LY96, TNFRSF11B, ADRB1, EFNA5, RASGRP1, PIK3R6, PIK3R5, SLC9A1, GRIN2A, SCUBE1, INPP5F, PLCG2, TAC1, WNT4, LOC115496728, TGFB2, OPN3, HTR1E, HOMER2, TGFB3, HTR1D, ESRRG, NR1D2, NR1D1, LOC100232344, BMP6, ARHGAP24, DCLK1, NFKB1, NFKB2, NET1, LACC1, FER, GRIN3B, CDK6, PPP1R1A, PPP1R1C, RCAN2, PLCH1, PLCH2, MAP3K13, FGF11, PRR5, GABRB3, GABRB2, GSK3B, GPR26, THRB, MSTN, ITGB4, FLT4, DIRAS2, HTR2A, PTH1R, ADRA1B, ROBO1, IFIH1, GRM2, GPER1, GRM8, RSPO3, LOC100221351, EDARADD, GPR37, KSR1, SYK, PDE4D, PDE4C, GFRA1, LOC100218462, ITPKB, KIT, FIBIN, ITGA7, PPARG, LOC115494816, RAPGEF3, LOC100223132, LOC100222682, ARHGEF6, LOC100224101, LAMA5, NIM1K, RAMP3, SEMA3D, TUFT1, PTGER2, LEF1, LRP5, LRP4, SEMA3E, ADCY1, ACVR1B, MAPK9, PAK1, ACVR1C, GLRA3, GNG4, CHRNA10, CCL19, GPR158, E2F7, GABRA1, LOC100225337, GABRA5, MIB2, WNT7A, SULF1, ACVR2B, SORL1, ACVR2A, BATF, HIPK2, MAPK11, KITLG, TEC, LEP, TBKBP1, PLCD4, GPR146	501	2061	10887	1.6026404251177413	1.1981566879759598E-6	3.9927139448528543E-7	3.936655783449476E-7
GOTERM_CC_FAT	GO:1990351~transporter complex	36	5.529953917050691	4.071091612156654E-10	GABRB3, RYR2, CNTNAP2, GABRB2, KCNG4, LRRC38, KCNA2, MCUB, RYR3, SLC9A1, CACNA1G, ABHD12, CACNG7, GRIN2A, GLRA3, LOC115491734, SCN1B, CACNG5, KCNJ3, KCNH2, KCNF1, GABRA1, LOC100224567, KCNH5, KCNH7, GABRA5, KCNK12, KCNK13, LRRN4, CACNA2D2, KCNAB2, GRIN3B, CACNB4, KCNS1, SCN8A, HCN1	369	251	8631	3.3547760178797006	1.5714410961376046E-7	5.238137874308228E-8	4.9803020722049734E-8
GOTERM_MF_FAT	GO:0015267~channel activity	44	6.7588325652841785	1.3288998387969906E-9	SLC24A2, GABRB3, SNAP25, RYR2, GABRB2, KCNG4, LRRC38, KCNA2, RYR3, CACNA1G, PANX2, CACNG7, TRPM2, GRIN2A, GLRA3, KCNT2, CHRNA10, TRPM7, LOC115491734, SCN1B, CACNG5, KCNJ3, KCNH2, SLC12A2, KCNF1, GABRA1, CHRNB4, LOC100224567, KCNH5, KCNH7, GABRA5, KCNK12, KCNK13, LRRN4, CACNA2D2, KCNAB2, TPCN1, GRIN3B, CACNB4, KCNS1, SCN8A, KCNQ4, AQP11, HCN1	482	330	10113	2.7975103734439832	1.2172715491143293E-6	2.928218869835091E-7	2.7651848497896875E-7
GOTERM_MF_FAT	GO:0022803~passive transmembrane transporter activity	44	6.7588325652841785	1.3288998387969906E-9	SLC24A2, GABRB3, SNAP25, RYR2, GABRB2, KCNG4, LRRC38, KCNA2, RYR3, CACNA1G, PANX2, CACNG7, TRPM2, GRIN2A, GLRA3, KCNT2, CHRNA10, TRPM7, LOC115491734, SCN1B, CACNG5, KCNJ3, KCNH2, SLC12A2, KCNF1, GABRA1, CHRNB4, LOC100224567, KCNH5, KCNH7, GABRA5, KCNK12, KCNK13, LRRN4, CACNA2D2, KCNAB2, TPCN1, GRIN3B, CACNB4, KCNS1, SCN8A, KCNQ4, AQP11, HCN1	482	330	10113	2.7975103734439832	1.2172715491143293E-6	2.928218869835091E-7	2.7651848497896875E-7
