Sample	sex	location	treatment
c128.F	Female	Caudal	Paired
c175.F	Female	Caudal	Paired
c185.F	Female	Caudal	Paired
c192.F	Female	Caudal	Paired
cNoID.F	Female	Caudal	Paired
r128.F	Female	Rostral	Paired
r175.F	Female	Rostral	Paired
r185.F	Female	Rostral	Paired
r192.F	Female	Rostral	Paired
rNoID.F	Female	Rostral	Paired
c121.M	Male	Caudal	Paired
c124.M	Male	Caudal	Paired
c125.M	Male	Caudal	Paired
c132.M	Male	Caudal	Paired
c187.M	Male	Caudal	Paired
r121.M	Male	Rostral	Paired
r124.M	Male	Rostral	Paired
r125.M	Male	Rostral	Paired
r132.M	Male	Rostral	Paired
r187.M	Male	Rostral	Paired
c123.F	Female	Caudal	Separated
c166.F	Female	Caudal	Separated
c188.F	Female	Caudal	Separated
c191.F	Female	Caudal	Separated
r123.F	Female	Rostral	Separated
r166.F	Female	Rostral	Separated
r188.F	Female	Rostral	Separated
r191.F	Female	Rostral	Separated
c109.M	Male	Caudal	Separated
c131.M	Male	Caudal	Separated
c150.M	Male	Caudal	Separated
c166.M	Male	Caudal	Separated
c173.M	Male	Caudal	Separated
r109.M	Male	Rostral	Separated
r131.M	Male	Rostral	Separated
r150.M	Male	Rostral	Separated
r166.M	Male	Rostral	Separated
r173.M	Male	Rostral	Separated
c152.F	Female	Caudal	Unpaired
c174.F	Female	Caudal	Unpaired
r152.F	Female	Rostral	Unpaired
r174.F	Female	Rostral	Unpaired
c128.M	Male	Caudal	Unpaired
c142.M	Male	Caudal	Unpaired
c184.M	Male	Caudal	Unpaired
r128.M	Male	Rostral	Unpaired
r142.M	Male	Rostral	Unpaired
r184.M	Male	Rostral	Unpaired
